MANDT,LIFNR,BUKRS,PERNR,ALTKN,BEGRU,ZUAWA,AKONT,ALTKT,ALTKN2,ZTERM,WAERS,FDGRP,REPRF,TOGRP,LNRZE,LNRZB,ZINDT,ZINRT,DATLZ,ALTKZ,MINDK,INTAD,KVERM,BUSAB,UBBZG,EXPKK,ABSBE,ZFBDT,SKFOR,SKNTO,MANDT_OVERRIDE
100,0000001330,2000,,,0001,002,963046,,,0001,GBP,,X,,,,,,,,,,,kE,,,,,,,
100,0000001896,5000,,,0003,002,684132,,,NT90,USD,,X,,,,,,,,,,,bj,,,,,,,
100,0000000420,3000,,,0003,001,526611,,,NT30,BRL,,X,,,,,,,,,,,Td,,,,,,,
100,0000001961,1000,,,0002,002,855306,,,2/10NET30,JPY,,X,,,,,,,,,,,Cc,,,,,,,
100,0000000742,3000,,,0001,003,258666,,,NT30,JPY,,,,,,,,,,,,,cB,,,,,,,
100,0000000458,5000,,,0003,003,630355,,,NT60,EUR,,,,,,,,,,,,,bm,,,,,,,
100,0000001688,5000,,,0003,002,689916,,,NT90,AUD,,X,,,,,,,,,,,dh,,,,,,,
100,0000001069,4000,,,,001,925305,,,0002,CNY,,X,,,,,,,,,,,mA,,,,,,,
100,0000001656,4000,,,0003,001,109019,,,0002,BRL,,X,,,,,,,,,,,am,,,,,,,
100,0000001179,2000,,,0002,002,869549,,,NT90,KRW,,X,,,,,,,,,,,SS,,,,,,,
100,0000001214,3000,,,0003,002,614038,,,0003,USD,,,,,,,,,,,,,xR,,,,,,,
100,0000001596,2000,,,0002,001,510490,,,NT90,GBP,,,,,,,,,,,,,Rt,,,,,,,
100,0000000043,4000,,,,002,385349,,,2/10NET30,GBP,,X,,,,,,,,,,,sR,,,,,,,
100,0000001719,3000,,,0001,002,492436,,,0003,AUD,,,,,,,,,,,,,pa,,,,,,,
100,0000001986,5000,,,,003,823716,,,2/10NET30,KRW,,X,,,,,,,,,,,uu,,,,,,,
100,0000001067,3000,,,0003,001,741365,,,0002,JPY,,X,,,,,,,,,,,nD,,,,,,,
100,0000000656,5000,,,,002,952894,,,NT60,USD,,X,,,,,,,,,,,kd,,,,,,,
100,0000000730,3000,,,0001,001,804706,,,NT60,USD,,,,,,,,,,,,,xG,,,,,,,
100,0000000453,3000,,,0002,001,348754,,,2/10NET30,JPY,,X,,,,,,,,,,,oS,,,,,,,
100,0000000435,2000,,,0003,003,085070,,,0001,BRL,,,,,,,,,,,,,DK,,,,,,,
100,0000000694,3000,,,0002,003,809078,,,0002,EUR,,,,,,,,,,,,,KL,,,,,,,
100,0000000264,5000,,,0003,001,042271,,,NT30,JPY,,,,,,,,,,,,,sa,,,,,,,
100,0000000926,3000,,,,002,516005,,,0003,GBP,,,,,,,,,,,,,DS,,,,,,,
100,0000000007,5000,,,0001,002,296668,,,NT90,BRL,,X,,,,,,,,,,,jl,,,,,,,
200,0000000868,1000,,,0003,002,884653,,,2/10NET30,USD,,,,,,,,,,,,,WX,,,,,,,
100,0000001857,3000,,,0001,002,578641,,,NT90,CNY,,,,,,,,,,,,,FY,,,,,,,
100,0000000086,3000,,,0001,001,118341,,,0003,EUR,,X,,,,,,,,,,,kF,,,,,,,
100,0000001767,1000,,,0003,002,216764,,,NT30,EUR,,,,,,,,,,,,,Lh,,,,,,,
100,0000000192,3000,,,0001,002,097133,,,NT30,CNY,,X,,,,,,,,,,,Sg,,,,,,,
100,0000001284,2000,,,0003,001,430796,,,2/10NET30,EUR,,X,,,,,,,,,,,Mv,,,,,,,
100,0000001861,4000,,,0002,001,810243,,,0001,USD,,,,,,,,,,,,,fk,,,,,,,
100,0000001678,4000,,,0002,001,656297,,,0001,CAD,,,,,,,,,,,,,Ms,,,,,,,
100,0000001269,1000,,,0003,003,565298,,,2/10NET30,CHF,,,,,,,,,,,,,ca,,,,,,,
100,0000000878,1000,,,0003,003,417780,,,NT30,KRW,,,,,,,,,,,,,na,,,,,,,
100,0000001331,5000,,,0002,002,252358,,,NT60,EUR,,,,,,,,,,,,,PN,,,,,,,
100,0000000370,3000,,,0001,003,240888,,,NT90,USD,,X,,,,,,,,,,,Rv,,,,,,,
100,0000000771,1000,,,,003,393909,,,0003,JPY,,,,,,,,,,,,,in,,,,,,,
100,0000000572,1000,,,0001,001,380755,,,NT30,GBP,,X,,,,,,,,,,,ox,,,,,,,
100,0000001719,1000,,,0002,003,992539,,,0003,CHF,,X,,,,,,,,,,,nw,,,,,,,
100,0000001079,2000,,,,003,111171,,,0003,USD,,X,,,,,,,,,,,yl,,,,,,,
100,0000000137,5000,,,,003,322298,,,NT30,JPY,,,,,,,,,,,,,On,,,,,,,
100,0000000836,3000,,,0002,003,683191,,,0003,EUR,,X,,,,,,,,,,,LG,,,,,,,
100,0000001787,1000,,,0002,002,246242,,,NT30,USD,,X,,,,,,,,,,,az,,,,,,,
100,0000001282,5000,,,,001,835847,,,NT60,BRL,,X,,,,,,,,,,,Hk,,,,,,,
100,0000000403,1000,,,0001,003,726314,,,2/10NET30,JPY,,X,,,,,,,,,,,TX,,,,,,,
100,0000001278,3000,,,0003,002,493897,,,0003,GBP,,X,,,,,,,,,,,NC,,,,,,,
100,0000001039,5000,,,0001,001,468272,,,NT90,CNY,,X,,,,,,,,,,,gj,,,,,,,
100,0000000236,5000,,,0002,001,421692,,,NT30,USD,,,,,,,,,,,,,rH,,,,,,,
100,0000001382,2000,,,0001,002,819291,,,NT90,JPY,,X,,,,,,,,,,,Cx,,,,,,,
100,0000000654,2000,,,0001,003,457944,,,0002,GBP,,,,,,,,,,,,,sa,,,,,,,
100,0000000212,2000,,,0003,003,672239,,,0001,KRW,,,,,,,,,,,,,pG,,,,,,,
100,0000001812,5000,,,,001,162795,,,0002,BRL,,,,,,,,,,,,,jq,,,,,,,
100,0000001174,5000,,,,001,897573,,,0001,JPY,,,,,,,,,,,,,Iv,,,,,,,
100,0000000763,4000,,,0001,001,311466,,,NT90,KRW,,X,,,,,,,,,,,rq,,,,,,,
100,0000001484,1000,,,,003,508594,,,0002,CNY,,,,,,,,,,,,,jk,,,,,,,
100,0000001314,4000,,,0003,001,885075,,,NT30,EUR,,X,,,,,,,,,,,pU,,,,,,,
100,0000001140,2000,,,0001,001,234282,,,0003,BRL,,,,,,,,,,,,,ct,,,,,,,
100,0000000973,2000,,,0001,003,007185,,,NT30,GBP,,,,,,,,,,,,,ke,,,,,,,
100,0000000166,2000,,,0001,002,062116,,,NT60,CHF,,,,,,,,,,,,,NE,,,,,,,
100,0000001166,4000,,,0002,001,319205,,,0001,EUR,,,,,,,,,,,,,uS,,,,,,,
100,0000000302,4000,,,,003,831886,,,NT90,EUR,,X,,,,,,,,,,,Su,,,,,,,
100,0000001828,2000,,,,003,206066,,,NT90,CAD,,X,,,,,,,,,,,FH,,,,,,,
100,0000000753,2000,,,,001,072923,,,NT30,AUD,,,,,,,,,,,,,mX,,,,,,,
100,0000001369,3000,,,0001,003,994801,,,0003,CHF,,,,,,,,,,,,,lr,,,,,,,
100,0000001352,1000,,,0003,002,715563,,,0001,JPY,,,,,,,,,,,,,QR,,,,,,,
100,0000001219,1000,,,0002,003,015166,,,NT30,BRL,,X,,,,,,,,,,,oV,,,,,,,
100,0000001241,4000,,,0001,003,168211,,,2/10NET30,CAD,,X,,,,,,,,,,,Yt,,,,,,,
100,0000000960,5000,,,0001,001,192818,,,NT90,KRW,,X,,,,,,,,,,,MM,,,,,,,
100,0000000301,5000,,,0001,001,600449,,,NT60,CHF,,,,,,,,,,,,,DT,,,,,,,
100,0000000348,3000,,,0003,001,110725,,,0003,GBP,,X,,,,,,,,,,,aB,,,,,,,
100,0000001837,2000,,,0003,003,104536,,,0001,CAD,,,,,,,,,,,,,MP,,,,,,,
100,0000001822,2000,,,0002,002,246876,,,NT60,AUD,,X,,,,,,,,,,,rw,,,,,,,
100,0000001361,5000,,,0001,001,307074,,,0001,CNY,,X,,,,,,,,,,,MK,,,,,,,
100,0000000896,3000,,,,002,251616,,,2/10NET30,KRW,,,,,,,,,,,,,iA,,,,,,,
100,0000001466,2000,,,0003,001,030414,,,0001,BRL,,,,,,,,,,,,,RT,,,,,,,
100,0000001514,5000,,,0001,001,009317,,,0002,AUD,,,,,,,,,,,,,Gr,,,,,,,
100,0000000655,4000,,,,001,797274,,,NT60,GBP,,X,,,,,,,,,,,qc,,,,,,,
100,0000000730,3000,,,0001,003,392533,,,2/10NET30,AUD,,,,,,,,,,,,,JQ,,,,,,,
100,0000001404,4000,,,0003,003,758054,,,2/10NET30,CAD,,X,,,,,,,,,,,JP,,,,,,,
100,0000000721,3000,,,,001,264348,,,0003,JPY,,,,,,,,,,,,,wo,,,,,,,
100,0000001732,2000,,,0001,002,041906,,,2/10NET30,KRW,,,,,,,,,,,,,Kk,,,,,,,
100,0000000004,5000,,,,001,654978,,,NT30,BRL,,X,,,,,,,,,,,KO,,,,,,,
100,0000000491,4000,,,0001,001,122893,,,0002,CHF,,X,,,,,,,,,,,VJ,,,,,,,
100,0000001848,2000,,,,001,593194,,,NT90,JPY,,X,,,,,,,,,,,nW,,,,,,,
100,0000001368,3000,,,,002,006514,,,NT60,EUR,,X,,,,,,,,,,,YH,,,,,,,
100,0000001772,4000,,,0001,001,187941,,,0002,KRW,,X,,,,,,,,,,,WS,,,,,,,
100,0000001194,1000,,,0002,003,674621,,,NT30,JPY,,X,,,,,,,,,,,Jc,,,,,,,
100,0000001064,3000,,,0001,003,674587,,,0001,BRL,,,,,,,,,,,,,ew,,,,,,,
100,0000001417,5000,,,0001,002,795778,,,NT30,USD,,,,,,,,,,,,,fS,,,,,,,
100,0000001547,3000,,,,001,604187,,,0003,CHF,,,,,,,,,,,,,ul,,,,,,,
100,0000001909,5000,,,0001,003,925908,,,NT90,CAD,,,,,,,,,,,,,yE,,,,,,,
100,0000001594,5000,,,0002,001,900478,,,0001,USD,,,,,,,,,,,,,lc,,,,,,,
100,0000001181,5000,,,0001,003,443479,,,NT30,EUR,,X,,,,,,,,,,,yo,,,,,,,
100,0000001276,1000,,,0003,003,908351,,,NT30,USD,,,,,,,,,,,,,qG,,,,,,,
100,0000000798,4000,,,,003,462673,,,0001,BRL,,,,,,,,,,,,,sW,,,,,,,
100,0000001371,5000,,,0003,002,853533,,,NT60,GBP,,X,,,,,,,,,,,Af,,,,,,,
100,0000000463,3000,,,0003,003,670211,,,0002,KRW,,,,,,,,,,,,,dh,,,,,,,
100,0000001294,1000,,,0002,002,051302,,,0003,BRL,,X,,,,,,,,,,,Cn,,,,,,,
100,0000000634,1000,,,,001,551492,,,0003,JPY,,,,,,,,,,,,,YO,,,,,,,
100,0000000715,5000,,,0001,002,936749,,,NT60,KRW,,X,,,,,,,,,,,Jf,,,,,,,
100,0000000815,3000,,,0001,003,106960,,,0001,GBP,,,,,,,,,,,,,cB,,,,,,,
100,0000001037,5000,,,0002,001,225584,,,NT90,JPY,,,,,,,,,,,,,xh,,,,,,,
100,0000000324,1000,,,0003,002,724959,,,0002,CNY,,,,,,,,,,,,,pG,,,,,,,
100,0000000266,3000,,,0002,002,353785,,,0003,EUR,,X,,,,,,,,,,,TL,,,,,,,
100,0000001206,2000,,,0001,001,729740,,,NT30,GBP,,X,,,,,,,,,,,Ed,,,,,,,
100,0000001571,2000,,,,001,865000,,,NT90,CAD,,,,,,,,,,,,,Eh,,,,,,,
100,0000000182,2000,,,0001,002,549979,,,0001,BRL,,,,,,,,,,,,,KR,,,,,,,
100,0000000808,2000,,,0002,002,654526,,,2/10NET30,USD,,,,,,,,,,,,,EJ,,,,,,,
100,0000001392,5000,,,0003,002,401198,,,NT60,KRW,,X,,,,,,,,,,,IH,,,,,,,
100,0000001632,1000,,,0002,003,429560,,,NT90,CNY,,,,,,,,,,,,,Fm,,,,,,,
100,0000000869,5000,,,0003,002,928340,,,0002,CAD,,X,,,,,,,,,,,jh,,,,,,,
100,0000001038,3000,,,0002,001,210421,,,NT30,USD,,X,,,,,,,,,,,pr,,,,,,,
100,0000001194,4000,,,0002,002,492630,,,0001,JPY,,,,,,,,,,,,,Dr,,,,,,,
100,0000001531,3000,,,0001,002,746406,,,0001,AUD,,,,,,,,,,,,,zl,,,,,,,
100,0000001227,5000,,,0002,002,898436,,,NT30,CAD,,,,,,,,,,,,,nL,,,,,,,
100,0000001489,5000,,,0002,002,255938,,,0001,KRW,,X,,,,,,,,,,,FX,,,,,,,
100,0000001201,3000,,,,002,846354,,,NT30,JPY,,,,,,,,,,,,,ip,,,,,,,
100,0000000958,3000,,,0002,002,579186,,,2/10NET30,BRL,,X,,,,,,,,,,,nz,,,,,,,
100,0000000620,1000,,,0002,001,820617,,,NT60,USD,,X,,,,,,,,,,,Td,,,,,,,
100,0000000366,3000,,,0002,002,203570,,,0002,KRW,,X,,,,,,,,,,,Py,,,,,,,
100,0000001835,5000,,,0003,002,441337,,,0001,EUR,,,,,,,,,,,,,hY,,,,,,,
100,0000000340,4000,,,,001,064565,,,0003,GBP,,X,,,,,,,,,,,QK,,,,,,,
100,0000001239,4000,,,,001,441731,,,NT90,CNY,,,,,,,,,,,,,SA,,,,,,,
100,0000000073,5000,,,0002,001,122352,,,NT30,AUD,,X,,,,,,,,,,,il,,,,,,,
100,0000001824,5000,,,,003,048604,,,0001,CAD,,X,,,,,,,,,,,rK,,,,,,,
100,0000001587,5000,,,0001,002,245477,,,0002,CNY,,,,,,,,,,,,,fC,,,,,,,
100,0000000310,3000,,,0001,003,841274,,,0002,CNY,,,,,,,,,,,,,Wm,,,,,,,
100,0000001828,2000,,,0002,003,234988,,,NT30,KRW,,,,,,,,,,,,,Sy,,,,,,,
100,0000000201,1000,,,,001,794922,,,0001,GBP,,,,,,,,,,,,,HV,,,,,,,
100,0000001710,2000,,,0003,002,572997,,,0001,JPY,,,,,,,,,,,,,hd,,,,,,,
100,0000000130,5000,,,0002,001,400456,,,NT60,CNY,,,,,,,,,,,,,QX,,,,,,,
100,0000001391,1000,,,0003,002,928167,,,0001,CHF,,,,,,,,,,,,,Ir,,,,,,,
100,0000001415,1000,,,0001,003,366522,,,0001,EUR,,X,,,,,,,,,,,RV,,,,,,,
100,0000000839,1000,,,0001,003,131332,,,NT90,CNY,,X,,,,,,,,,,,yc,,,,,,,
100,0000000319,3000,,,0002,002,324894,,,NT30,EUR,,,,,,,,,,,,,mO,,,,,,,
100,0000001992,1000,,,0002,001,335970,,,0003,BRL,,X,,,,,,,,,,,FX,,,,,,,
100,0000001913,4000,,,0001,001,698250,,,2/10NET30,KRW,,,,,,,,,,,,,mm,,,,,,,
100,0000000081,2000,,,0002,002,613874,,,0001,KRW,,,,,,,,,,,,,Ow,,,,,,,
100,0000000916,5000,,,,003,944568,,,NT30,KRW,,X,,,,,,,,,,,As,,,,,,,
100,0000000122,4000,,,0001,002,064522,,,NT30,GBP,,,,,,,,,,,,,OF,,,,,,,
100,0000001503,4000,,,0002,002,254239,,,NT90,BRL,,,,,,,,,,,,,SQ,,,,,,,
100,0000001229,4000,,,0002,003,986384,,,NT60,CAD,,,,,,,,,,,,,ZD,,,,,,,
100,0000001654,1000,,,0002,003,856849,,,NT90,CAD,,X,,,,,,,,,,,Iv,,,,,,,
100,0000000629,5000,,,0002,003,573939,,,NT90,CHF,,X,,,,,,,,,,,Af,,,,,,,
100,0000000486,1000,,,,002,070655,,,0001,JPY,,,,,,,,,,,,,lu,,,,,,,
100,0000000081,5000,,,0001,002,267049,,,2/10NET30,CHF,,X,,,,,,,,,,,oI,,,,,,,
100,0000001138,3000,,,0001,001,046164,,,NT90,AUD,,,,,,,,,,,,,UE,,,,,,,
100,0000001058,5000,,,,001,720307,,,NT30,JPY,,X,,,,,,,,,,,md,,,,,,,
100,0000000884,2000,,,0001,001,430299,,,0002,EUR,,X,,,,,,,,,,,hz,,,,,,,
100,0000001277,3000,,,0003,002,930420,,,2/10NET30,KRW,,X,,,,,,,,,,,Nm,,,,,,,
100,0000000511,2000,,,0001,001,979445,,,0001,AUD,,X,,,,,,,,,,,TI,,,,,,,
100,0000000770,3000,,,0001,001,014816,,,NT60,EUR,,,,,,,,,,,,,ew,,,,,,,
100,0000000042,4000,,,,002,647066,,,2/10NET30,GBP,,,,,,,,,,,,,kQ,,,,,,,
100,0000001975,4000,,,0003,002,166768,,,0001,KRW,,X,,,,,,,,,,,jW,,,,,,,
100,0000001852,2000,,,0003,002,028695,,,NT30,JPY,,X,,,,,,,,,,,mz,,,,,,,
100,0000000595,5000,,,0001,001,853828,,,2/10NET30,GBP,,,,,,,,,,,,,Dw,,,,,,,
100,0000000918,2000,,,0002,002,212220,,,NT90,JPY,,X,,,,,,,,,,,BR,,,,,,,
100,0000001180,1000,,,0003,003,404628,,,2/10NET30,JPY,,X,,,,,,,,,,,We,,,,,,,
100,0000000293,3000,,,0003,001,121522,,,2/10NET30,CHF,,,,,,,,,,,,,an,,,,,,,
100,0000001053,1000,,,,001,061395,,,NT60,CNY,,X,,,,,,,,,,,PG,,,,,,,
100,0000000717,4000,,,0002,003,257128,,,2/10NET30,GBP,,X,,,,,,,,,,,JB,,,,,,,
100,0000001628,1000,,,0002,003,040519,,,0002,AUD,,X,,,,,,,,,,,tF,,,,,,,
100,0000001260,4000,,,0002,002,764249,,,0001,CAD,,X,,,,,,,,,,,Nc,,,,,,,
100,0000001286,3000,,,0001,001,869933,,,2/10NET30,CNY,,,,,,,,,,,,,DL,,,,,,,
100,0000001070,1000,,,0002,001,056784,,,2/10NET30,CAD,,X,,,,,,,,,,,NO,,,,,,,
100,0000001766,1000,,,0002,001,720925,,,0002,GBP,,,,,,,,,,,,,eT,,,,,,,
100,0000001105,3000,,,0002,001,635820,,,2/10NET30,AUD,,,,,,,,,,,,,Gv,,,,,,,
100,0000001664,3000,,,0002,003,174705,,,NT60,KRW,,,,,,,,,,,,,gZ,,,,,,,
100,0000001169,1000,,,0003,001,362188,,,NT90,GBP,,X,,,,,,,,,,,ak,,,,,,,
100,0000001153,3000,,,0001,003,747886,,,NT90,AUD,,X,,,,,,,,,,,lr,,,,,,,
100,0000000963,2000,,,0001,002,669805,,,2/10NET30,EUR,,,,,,,,,,,,,DF,,,,,,,
100,0000001537,5000,,,0001,001,805209,,,NT60,CHF,,X,,,,,,,,,,,GY,,,,,,,
100,0000001549,1000,,,0002,003,852339,,,0003,KRW,,,,,,,,,,,,,QC,,,,,,,
100,0000000245,3000,,,,003,490669,,,2/10NET30,BRL,,,,,,,,,,,,,IJ,,,,,,,
100,0000001371,1000,,,0003,003,543055,,,NT90,BRL,,X,,,,,,,,,,,mt,,,,,,,
100,0000000605,1000,,,0001,002,675469,,,0001,JPY,,,,,,,,,,,,,PA,,,,,,,
100,0000001754,3000,,,0003,002,231801,,,NT30,CHF,,X,,,,,,,,,,,lg,,,,,,,
100,0000000451,5000,,,0003,001,102670,,,NT60,AUD,,,,,,,,,,,,,ys,,,,,,,
100,0000000007,3000,,,0001,001,017289,,,0002,BRL,,X,,,,,,,,,,,tj,,,,,,,
100,0000001064,1000,,,0002,001,544225,,,0003,BRL,,X,,,,,,,,,,,dJ,,,,,,,
100,0000001265,2000,,,0002,002,435828,,,0003,CAD,,,,,,,,,,,,,oC,,,,,,,
100,0000000327,3000,,,0003,002,120642,,,NT60,JPY,,,,,,,,,,,,,yY,,,,,,,
100,0000001467,3000,,,0002,002,663827,,,NT30,GBP,,,,,,,,,,,,,jh,,,,,,,
100,0000001064,3000,,,0002,001,303864,,,NT90,USD,,X,,,,,,,,,,,hV,,,,,,,
100,0000001401,5000,,,,001,650939,,,NT90,AUD,,,,,,,,,,,,,ja,,,,,,,
100,0000001588,2000,,,0001,002,324468,,,NT60,CAD,,X,,,,,,,,,,,dp,,,,,,,
100,0000001803,5000,,,,001,618844,,,0001,BRL,,X,,,,,,,,,,,qf,,,,,,,
100,0000000109,3000,,,0001,002,802963,,,2/10NET30,JPY,,X,,,,,,,,,,,WZ,,,,,,,
100,0000001872,2000,,,0002,001,405635,,,NT90,USD,,X,,,,,,,,,,,Ai,,,,,,,
100,0000001520,1000,,,0002,002,837947,,,0002,GBP,,X,,,,,,,,,,,Lb,,,,,,,
100,0000001225,4000,,,,003,043862,,,NT60,BRL,,,,,,,,,,,,,Vi,,,,,,,
100,0000000854,4000,,,0001,003,065819,,,0002,BRL,,,,,,,,,,,,,YO,,,,,,,
100,0000001403,5000,,,0002,001,596072,,,2/10NET30,EUR,,X,,,,,,,,,,,ll,,,,,,,
100,0000001229,2000,,,0003,001,909669,,,NT90,CAD,,,,,,,,,,,,,kh,,,,,,,
100,0000001170,2000,,,0003,003,810487,,,NT30,BRL,,,,,,,,,,,,,IL,,,,,,,
100,0000001484,4000,,,0003,002,899377,,,2/10NET30,KRW,,X,,,,,,,,,,,oJ,,,,,,,
100,0000001328,1000,,,0001,002,794355,,,0001,CAD,,X,,,,,,,,,,,ym,,,,,,,
100,0000001949,1000,,,0001,002,563517,,,0002,GBP,,,,,,,,,,,,,yc,,,,,,,
100,0000000193,5000,,,0003,001,652859,,,NT30,EUR,,X,,,,,,,,,,,MO,,,,,,,
100,0000001386,3000,,,0002,002,081578,,,NT30,BRL,,X,,,,,,,,,,,uf,,,,,,,
100,0000000289,1000,,,0003,003,074988,,,0001,BRL,,,,,,,,,,,,,OB,,,,,,,
100,0000001171,3000,,,0002,003,811184,,,NT90,AUD,,,,,,,,,,,,,wM,,,,,,,
100,0000001038,3000,,,0001,001,249691,,,0001,CAD,,X,,,,,,,,,,,aK,,,,,,,
100,0000001855,3000,,,0002,002,017763,,,0001,USD,,X,,,,,,,,,,,Zl,,,,,,,
100,0000000686,1000,,,0001,002,335074,,,NT90,USD,,,,,,,,,,,,,TG,,,,,,,
100,0000001976,3000,,,0001,003,492349,,,2/10NET30,CNY,,,,,,,,,,,,,fd,,,,,,,
100,0000001258,5000,,,0002,001,674786,,,NT90,KRW,,X,,,,,,,,,,,Kd,,,,,,,
100,0000001910,2000,,,0003,002,262860,,,NT60,JPY,,X,,,,,,,,,,,qj,,,,,,,
100,0000001590,1000,,,0001,001,625126,,,NT90,EUR,,,,,,,,,,,,,TR,,,,,,,
100,0000000048,3000,,,,002,834685,,,0003,KRW,,X,,,,,,,,,,,eD,,,,,,,
100,0000001104,3000,,,0001,001,110266,,,0001,USD,,,,,,,,,,,,,Ks,,,,,,,
100,0000000241,5000,,,0002,002,139777,,,0001,CNY,,,,,,,,,,,,,IR,,,,,,,
100,0000000158,4000,,,,002,460814,,,0001,AUD,,,,,,,,,,,,,TL,,,,,,,
100,0000000014,5000,,,,001,819916,,,NT60,EUR,,X,,,,,,,,,,,ve,,,,,,,
100,0000000963,2000,,,0003,003,942010,,,NT30,CNY,,,,,,,,,,,,,Tx,,,,,,,
100,0000001095,1000,,,0002,003,522111,,,0001,CHF,,,,,,,,,,,,,rT,,,,,,,
100,0000000129,5000,,,0001,001,543829,,,2/10NET30,CAD,,,,,,,,,,,,,CM,,,,,,,
100,0000000761,3000,,,,002,115967,,,NT30,AUD,,,,,,,,,,,,,je,,,,,,,
100,0000001250,1000,,,0001,001,232562,,,0003,BRL,,,,,,,,,,,,,MG,,,,,,,
100,0000001364,4000,,,0003,001,970087,,,NT60,EUR,,X,,,,,,,,,,,bt,,,,,,,
100,0000000591,3000,,,,001,630682,,,0002,BRL,,,,,,,,,,,,,kD,,,,,,,
100,0000001356,4000,,,,002,234113,,,NT60,AUD,,X,,,,,,,,,,,YT,,,,,,,
100,0000000105,5000,,,,001,377329,,,0002,CNY,,X,,,,,,,,,,,fu,,,,,,,
100,0000000536,2000,,,,003,871872,,,NT30,KRW,,,,,,,,,,,,,YV,,,,,,,
100,0000001374,5000,,,0002,001,387909,,,2/10NET30,AUD,,X,,,,,,,,,,,dv,,,,,,,
100,0000000625,2000,,,0003,001,891887,,,0001,EUR,,,,,,,,,,,,,ab,,,,,,,
100,0000000993,4000,,,0002,003,619135,,,0001,EUR,,X,,,,,,,,,,,cU,,,,,,,
100,0000001907,4000,,,0001,003,784062,,,NT60,BRL,,X,,,,,,,,,,,gX,,,,,,,
100,0000001537,3000,,,0003,003,152455,,,NT30,USD,,X,,,,,,,,,,,px,,,,,,,
100,0000001886,1000,,,0002,001,474567,,,0002,USD,,X,,,,,,,,,,,Qr,,,,,,,
100,0000001168,2000,,,0001,002,639092,,,NT90,CHF,,X,,,,,,,,,,,bb,,,,,,,
100,0000000766,2000,,,0003,003,471422,,,2/10NET30,JPY,,,,,,,,,,,,,ZU,,,,,,,
100,0000000996,4000,,,0001,001,769949,,,NT60,EUR,,,,,,,,,,,,,aB,,,,,,,
100,0000001864,3000,,,0003,001,061928,,,NT90,AUD,,X,,,,,,,,,,,oF,,,,,,,
100,0000000660,3000,,,,001,416945,,,NT60,CAD,,,,,,,,,,,,,lU,,,,,,,
100,0000000127,4000,,,0001,002,275380,,,NT30,BRL,,X,,,,,,,,,,,VA,,,,,,,
100,0000000558,4000,,,0003,001,929815,,,NT90,CNY,,,,,,,,,,,,,RG,,,,,,,
100,0000000607,3000,,,0001,002,634554,,,0001,CHF,,X,,,,,,,,,,,yd,,,,,,,
100,0000000643,2000,,,,003,194729,,,0002,CAD,,X,,,,,,,,,,,Wf,,,,,,,
100,0000000830,2000,,,,001,087079,,,NT90,USD,,X,,,,,,,,,,,vX,,,,,,,
100,0000001678,1000,,,0002,003,206175,,,NT60,CHF,,,,,,,,,,,,,YS,,,,,,,
100,0000001135,2000,,,,002,476396,,,0002,CNY,,X,,,,,,,,,,,eH,,,,,,,
100,0000001830,1000,,,0001,003,224596,,,0001,CAD,,X,,,,,,,,,,,CQ,,,,,,,
100,0000001691,1000,,,0002,001,206667,,,0003,EUR,,X,,,,,,,,,,,vv,,,,,,,
100,0000000338,5000,,,0003,002,192119,,,2/10NET30,JPY,,X,,,,,,,,,,,ed,,,,,,,
100,0000001673,5000,,,0003,001,084030,,,NT60,CAD,,X,,,,,,,,,,,gt,,,,,,,
100,0000000069,3000,,,0003,001,618908,,,NT60,CNY,,X,,,,,,,,,,,vw,,,,,,,
100,0000000779,4000,,,0002,001,317891,,,NT90,KRW,,,,,,,,,,,,,tv,,,,,,,
100,0000000187,4000,,,0003,001,324198,,,NT60,BRL,,,,,,,,,,,,,at,,,,,,,
100,0000001811,5000,,,0001,003,950463,,,2/10NET30,GBP,,,,,,,,,,,,,Mp,,,,,,,
100,0000001094,4000,,,0003,001,504934,,,NT30,CAD,,,,,,,,,,,,,aA,,,,,,,
100,0000000733,1000,,,,001,024828,,,NT90,CAD,,X,,,,,,,,,,,oG,,,,,,,
100,0000000056,2000,,,0002,001,650286,,,NT30,CHF,,X,,,,,,,,,,,uF,,,,,,,
100,0000000018,2000,,,0001,002,366531,,,0003,AUD,,X,,,,,,,,,,,Ub,,,,,,,
100,0000000830,4000,,,0003,003,731997,,,0002,CHF,,,,,,,,,,,,,Lo,,,,,,,
100,0000001114,1000,,,0003,001,057006,,,NT90,GBP,,X,,,,,,,,,,,Qm,,,,,,,
100,0000001569,3000,,,0002,002,332038,,,2/10NET30,EUR,,X,,,,,,,,,,,yT,,,,,,,
100,0000000194,5000,,,,002,608225,,,0003,GBP,,X,,,,,,,,,,,kK,,,,,,,
100,0000000819,2000,,,0002,002,065867,,,0003,EUR,,X,,,,,,,,,,,VR,,,,,,,
100,0000000090,3000,,,0001,001,389850,,,NT90,JPY,,,,,,,,,,,,,qi,,,,,,,
100,0000000657,1000,,,0003,001,847341,,,2/10NET30,USD,,X,,,,,,,,,,,XJ,,,,,,,
100,0000000605,3000,,,0001,002,892800,,,NT90,AUD,,,,,,,,,,,,,FG,,,,,,,
100,0000000224,3000,,,0003,001,643703,,,NT60,CHF,,,,,,,,,,,,,nl,,,,,,,
100,0000001690,1000,,,0003,003,651524,,,NT30,GBP,,,,,,,,,,,,,ki,,,,,,,
