PRODUCT_NUMBER,PRODUCT_TYPE,BASE_UNIT,WEIGHT,WEIGHT_UNIT,VOLUME,VOLUME_UNIT,PRODUCT_GROUP,DIVISION,ERDAT
P000000354,FERT,M,955.133,KG,51.674,M3,MECH,01,2015-04-02
P000000355,FERT,EA,209.75,KG,33.611,M3,MECH,01,2024-08-02
P000000356,NLAG,M2,654.917,KG,43.98,CM3,MECH,01,2013-01-13
P000000357,ROH,M3,728.384,KG,39.359,L,MECH,01,2021-06-04
P000000358,ROH,PC,223.248,KG,47.758,M3,MECH,03,2016-01-09
P000000359,ROH,M3,569.182,KG,8.247,M3,MECH,03,2012-01-20
P000000360,DIEN,M3,617.524,KG,92.262,L,MECH,01,2016-08-17
P000000361,NLAG,EA,541.527,KG,35.922,L,MECH,04,2021-03-31
P000000362,ROH,KG,279.318,KG,46.044,L,MECH,01,2020-06-23
P000000363,NLAG,PC,666.104,KG,13.039,M3,MECH,01,2012-09-11
P000000364,ROH,M3,726.176,KG,62.756,L,MECH,02,2018-05-24
P000000365,ROH,M2,501.036,KG,11.622,M3,MECH,01,2018-01-10
P000000366,ROH,M2,256.891,KG,50.744,M3,MECH,01,2019-04-22
P000000367,FERT,PC,399.674,KG,11.157,L,MECH,03,2021-07-18
P000000368,DIEN,EA,462.239,KG,69.463,L,MECH,04,2024-08-28
P000000369,HALB,EA,560.779,KG,60.657,L,MECH,04,2023-08-13
P000000370,FERT,M3,734.18,KG,21.918,CM3,MECH,04,2016-05-31
P000000371,ROH,M3,372.222,KG,63.161,M3,MECH,03,2011-09-26
P000000372,NLAG,M3,250.62,KG,98.816,CM3,MECH,01,2011-09-27
P000000373,ROH,M2,527.626,KG,21.281,L,MECH,01,2012-07-12
P000000374,HALB,EA,124.331,KG,37.684,M3,MECH,01,2017-03-04
P000000375,ROH,L,462.907,KG,90.337,L,MECH,03,2024-04-13
P000000376,ROH,L,66.344,KG,57.246,L,MECH,04,2014-03-17
P000000377,ROH,M2,467.836,KG,57.563,L,MECH,03,2017-12-10
P000000378,NLAG,M2,527.945,KG,53.871,CM3,MECH,03,2011-10-15
P000000379,ROH,EA,982.926,KG,36.917,L,MECH,04,2014-11-19
P000000380,ROH,EA,656.954,KG,67.574,CM3,MECH,03,2016-03-08
P000000381,ROH,KG,274.191,KG,3.397,CM3,MECH,02,2021-05-31
P000000382,FERT,M,299.583,KG,91.421,L,MECH,02,2017-06-08
P000000383,FERT,EA,980.941,KG,47.711,L,MECH,01,2023-10-07
P000000384,ROH,L,375.149,KG,58.297,CM3,MECH,02,2012-05-04
P000000385,ROH,M3,192.822,KG,63.421,M3,MECH,01,2025-10-17
P000000386,HALB,M2,686.18,KG,36.552,M3,MECH,02,2015-06-29
P000000387,ROH,M3,462.334,KG,13.486,M3,MECH,01,2021-05-27
P000000388,NLAG,M3,382.601,KG,84.736,CM3,MECH,01,2021-05-13
P000000389,HALB,KG,983.591,KG,3.187,CM3,MECH,01,2014-06-17
P000000390,HALB,M2,702.785,KG,2.659,L,MECH,03,2023-09-24
P000000391,ROH,PC,415.114,KG,13.743,L,MECH,01,2025-07-25
P000000392,NLAG,L,589.836,KG,5.517,CM3,MECH,02,2021-12-15
P000000393,ROH,M,872.767,KG,25.803,M3,MECH,03,2011-12-09
P000000394,ROH,EA,91.064,KG,38.572,CM3,MECH,04,2021-07-13
P000000395,DIEN,EA,454.656,KG,73.482,M3,MECH,04,2012-02-14
P000000396,ROH,EA,634.383,KG,91.884,L,MECH,01,2014-12-09
P000000397,ROH,KG,947.881,KG,8.8,CM3,MECH,02,2018-01-01
P000000398,DIEN,PC,447.923,KG,23.564,CM3,MECH,03,2022-09-05
P000000399,ROH,M2,80.53,KG,35.559,M3,MECH,02,2020-11-12
P000000400,ROH,EA,72.533,KG,68.613,L,MECH,04,2013-10-01
P000000401,ROH,KG,920.497,KG,83.493,M3,MECH,02,2012-03-20
P000000402,ROH,EA,784.514,KG,19.807,L,MECH,02,2024-02-21
P000000403,ROH,PC,29.97,KG,61.455,M3,MECH,01,2020-02-27
P000000404,ROH,KG,999.811,KG,81.843,M3,MECH,01,2023-04-09
P000000405,ROH,M2,298.091,KG,20.201,L,MECH,02,2025-12-19
P000000406,DIEN,M2,707.666,KG,82.652,M3,MECH,01,2020-06-16
P000000407,FERT,EA,39.737,KG,42.985,M3,MECH,04,2014-07-20
P000000408,ROH,EA,23.511,KG,50.279,CM3,MECH,01,2020-05-29
P000000409,ROH,M2,959.788,KG,45.736,M3,MECH,03,2017-02-01
P000000410,FERT,EA,59.634,KG,71.828,M3,MECH,02,2023-04-19
P000000411,ROH,PC,983.08,KG,87.934,M3,MECH,01,2014-06-19
P000000412,FERT,EA,504.557,KG,57.509,CM3,MECH,03,2024-03-10
P000000413,DIEN,PC,502.531,KG,30.724,L,MECH,04,2019-05-10
P000000414,ROH,L,412.251,KG,46.984,M3,MECH,02,2011-12-18
P000000415,HALB,M2,172.199,KG,0.345,M3,MECH,01,2022-12-16
P000000416,ROH,L,731.993,KG,57.532,L,MECH,04,2025-08-29
P000000417,ROH,PC,860.326,KG,37.722,L,MECH,02,2018-02-02
P000000418,FERT,KG,920.966,KG,42.751,CM3,MECH,04,2019-01-19
P000000419,DIEN,M3,658.029,KG,75.654,CM3,MECH,02,2015-04-23
P000000420,ROH,L,408.87,KG,72.413,CM3,MECH,01,2019-11-30
P000000421,ROH,M2,923.181,KG,71.727,M3,MECH,02,2011-11-01
P000000422,ROH,EA,888.989,KG,4.365,CM3,MECH,02,2015-10-23
P000000423,HALB,M2,347.71,KG,63.762,M3,MECH,02,2021-11-19
P000000424,ROH,M,706.467,KG,39.95,L,MECH,02,2022-07-03
P000000425,ROH,EA,944.284,KG,63.029,L,MECH,04,2022-07-10
P000000426,DIEN,EA,839.139,KG,61.313,L,MECH,03,2023-02-16
P000000427,HALB,M3,647.719,KG,41.834,CM3,MECH,01,2022-01-09
P000000428,ROH,M2,329.504,KG,48.744,M3,MECH,04,2015-08-02
P000000429,ROH,M2,587.132,KG,47.462,L,MECH,01,2013-04-03
P000000430,NLAG,KG,93.921,KG,23.192,CM3,MECH,01,2020-02-10
P000000431,ROH,EA,441.351,KG,38.014,L,MECH,04,2024-03-25
P000000432,NLAG,M2,560.581,KG,35.816,L,MECH,01,2024-06-26
P000000433,ROH,EA,445.461,KG,83.597,L,MECH,01,2014-07-09
P000000434,ROH,PC,24.133,KG,6.661,CM3,MECH,04,2018-07-10
P000000435,ROH,EA,114.285,KG,43.281,CM3,MECH,04,2017-07-04
P000000436,DIEN,M,438.079,KG,64.182,L,MECH,04,2022-05-30
P000000437,ROH,M,726.52,KG,47.676,L,MECH,04,2021-03-28
P000000438,DIEN,KG,322.87,KG,41.844,M3,MECH,02,2012-07-21
P000000439,ROH,M3,27.016,KG,62.083,CM3,MECH,04,2012-09-01
P000000440,FERT,PC,901.825,KG,58.362,CM3,MECH,01,2023-05-24
P000000441,NLAG,EA,259.276,KG,89.398,CM3,MECH,01,2013-02-13
P000000442,FERT,M3,628.147,KG,41.336,M3,MECH,03,2020-09-16
P000000443,ROH,EA,854.256,KG,25.041,M3,MECH,02,2014-02-27
P000000444,ROH,M2,569.698,KG,54.274,M3,MECH,04,2024-12-06
P000000445,HALB,EA,43.26,KG,1.266,CM3,MECH,01,2025-08-27
P000000446,ROH,M3,294.245,KG,64.342,L,MECH,02,2019-03-24
P000000447,NLAG,M2,231.118,KG,52.15,CM3,MECH,04,2025-11-02
P000000448,ROH,M,60.171,KG,26.325,M3,MECH,02,2024-02-23
P000000449,NLAG,KG,110.787,KG,82.685,CM3,MECH,01,2022-07-04
P000000450,ROH,M2,652.749,KG,54.282,L,MECH,01,2013-12-24
P000000451,ROH,EA,734.7,KG,3.55,M3,MECH,01,2019-01-09
P000000452,DIEN,EA,256.79,KG,2.577,L,MECH,01,2022-10-23
P000000453,DIEN,KG,456.171,KG,21.468,L,MECH,01,2023-01-01
P000000454,NLAG,EA,732.737,KG,15.02,L,MECH,03,2011-09-30
P000000455,FERT,L,501.87,KG,31.155,L,MECH,04,2013-02-14
P000000456,ROH,EA,77.976,KG,54.773,L,MECH,03,2020-08-11
P000000457,ROH,EA,909.258,KG,76.552,L,MECH,01,2020-08-18
P000000458,HALB,M,40.701,KG,57.175,M3,MECH,04,2011-11-02
P000000459,NLAG,L,542.791,KG,51.933,M3,MECH,03,2016-11-25
P000000460,ROH,EA,447.642,KG,83.356,CM3,MECH,03,2022-09-13
P000000461,ROH,EA,780.866,KG,35.353,M3,MECH,02,2021-07-26
P000000462,ROH,M,490.814,KG,50.107,M3,MECH,03,2024-06-22
P000000463,ROH,KG,120.15,KG,80.187,L,MECH,01,2023-01-28
P000000464,HALB,EA,292.648,KG,23.482,M3,MECH,04,2016-04-09
P000000465,ROH,EA,267.217,KG,40.895,L,MECH,04,2017-11-29
P000000466,FERT,M,908.046,KG,92.712,L,MECH,04,2016-01-05
P000000467,DIEN,M2,429.607,KG,64.79,CM3,MECH,01,2023-04-20
P000000468,FERT,L,841.358,KG,86.856,M3,MECH,02,2015-08-24
P000000469,NLAG,KG,610.174,KG,91.415,M3,MECH,01,2021-12-12
P000000470,FERT,KG,43.223,KG,40.337,M3,MECH,04,2022-10-02
P000000471,HALB,L,162.812,KG,43.585,L,MECH,03,2015-11-15
P000000472,ROH,M2,264.293,KG,32.901,M3,MECH,02,2023-04-26
P000000473,ROH,M2,595.417,KG,53.449,M3,MECH,03,2024-09-07
P000000474,NLAG,L,880.141,KG,41.597,M3,MECH,02,2014-01-03
P000000475,HALB,L,590.629,KG,19.143,CM3,MECH,03,2015-09-30
P000000476,FERT,PC,991.607,KG,22.671,M3,MECH,02,2024-12-26
P000000477,ROH,M2,143.344,KG,68.316,M3,MECH,04,2021-06-30
P000000478,ROH,M3,119.177,KG,65.83,CM3,MECH,02,2015-11-03
P000000479,ROH,PC,924.48,KG,50.565,L,MECH,04,2018-08-28
P000000480,FERT,M,884.151,KG,70.871,L,MECH,02,2018-09-26
P000000481,ROH,PC,530.612,KG,72.405,CM3,MECH,03,2024-02-13
P000000482,ROH,M2,578.267,KG,24.15,L,MECH,02,2012-01-15
P000000483,DIEN,M2,164.535,KG,74.325,CM3,MECH,04,2022-04-20
P000000484,ROH,M2,478.852,KG,33.426,L,MECH,04,2016-12-24
P000000485,FERT,M3,128.351,KG,51.795,CM3,MECH,04,2016-02-03
P000000486,FERT,PC,254.514,KG,98.352,CM3,MECH,03,2024-04-15
P000000487,NLAG,L,809.275,KG,2.972,CM3,MECH,04,2023-06-24
P000000488,FERT,EA,484.469,KG,92.478,CM3,MECH,04,2023-11-17
P000000489,ROH,EA,560.331,KG,46.509,L,MECH,02,2016-12-31
P000000490,ROH,M3,411.258,KG,86.203,L,MECH,01,2015-12-11
P000000491,DIEN,M3,269.137,KG,91.077,L,MECH,01,2022-02-05
P000000492,HALB,PC,975.145,KG,87.591,L,MECH,03,2013-04-26
P000000493,DIEN,M2,378.415,KG,13.97,L,MECH,04,2024-11-05
P000000494,DIEN,PC,931.06,KG,80.921,L,MECH,01,2022-01-07
P000000495,ROH,KG,243.99,KG,65.46,M3,MECH,01,2015-12-22
P000000496,FERT,M2,167.035,KG,95.192,CM3,MECH,02,2022-10-15
P000000497,DIEN,M2,762.789,KG,56.991,CM3,MECH,01,2019-11-20
P000000498,FERT,EA,277.368,KG,13.226,CM3,MECH,03,2026-02-02
P000000499,HALB,M,153.404,KG,11.76,CM3,MECH,01,2018-08-05
P000000500,ROH,L,253.064,KG,76.324,M3,MECH,03,2015-05-04
P000000501,ROH,KG,329.056,KG,42.698,M3,MECH,02,2020-05-09
P000000502,ROH,M2,440.584,KG,13.474,L,MECH,01,2018-03-21
P000000503,HALB,M2,248.493,KG,86.283,L,MECH,01,2013-01-07
P000000504,DIEN,PC,3.021,KG,99.114,M3,MECH,02,2019-05-11
P000000505,ROH,M,561.288,KG,73.553,CM3,MECH,02,2019-11-11
P000000506,HALB,EA,801.8,KG,53.79,L,MECH,02,2018-01-05
P000000507,HALB,L,946.563,KG,6.542,M3,MECH,03,2022-12-14
P000000508,NLAG,EA,549.612,KG,3.06,M3,MECH,03,2020-08-16
P000000509,ROH,M,762.988,KG,17.148,M3,MECH,01,2014-09-01
P000000510,ROH,EA,537.611,KG,90.353,M3,MECH,02,2025-08-14
P000000511,ROH,EA,803.605,KG,7.69,L,MECH,01,2022-06-02
P000000512,FERT,M3,595.169,KG,24.548,L,MECH,01,2017-06-17
P000000513,ROH,M,649.969,KG,58.877,CM3,MECH,01,2023-09-24
P000000514,DIEN,EA,834.974,KG,90.739,CM3,MECH,02,2011-07-18
P000000515,ROH,EA,499.488,KG,1.128,L,MECH,01,2024-03-20
P000000516,ROH,EA,719.148,KG,89.87,CM3,MECH,01,2011-10-20
P000000517,NLAG,PC,233.242,KG,46.177,M3,MECH,03,2016-10-21
P000000518,ROH,L,49.006,KG,9.466,M3,MECH,03,2017-04-06
P000000519,ROH,M3,219.837,KG,84.15,M3,MECH,01,2011-09-25
P000000520,ROH,PC,577.954,KG,38.661,L,MECH,03,2011-07-29
P000000521,NLAG,M2,28.214,KG,95.253,M3,MECH,03,2022-03-28
P000000522,ROH,M2,209.701,KG,41.769,CM3,MECH,01,2016-03-22
P000000523,ROH,PC,334.226,KG,16.918,CM3,MECH,03,2024-05-07
P000000524,HALB,KG,317.34,KG,21.462,L,MECH,02,2017-11-23
P000000525,ROH,M,210.568,KG,44.905,CM3,MECH,04,2025-07-05
P000000526,ROH,M2,661.975,KG,5.138,M3,MECH,03,2024-10-16
P000000527,ROH,M3,669.227,KG,87.394,M3,MECH,04,2012-10-27
P000000528,ROH,PC,313.488,KG,60.56,CM3,MECH,04,2014-12-01
P000000529,NLAG,M2,309.659,KG,3.711,M3,MECH,01,2011-10-16
P000000530,FERT,M3,990.759,KG,47.287,M3,MECH,04,2024-06-05
P000000531,HALB,M2,769.538,KG,48.764,M3,MECH,03,2013-12-31
P000000532,ROH,EA,526.097,KG,32.164,L,MECH,04,2018-10-10
P000000533,ROH,EA,684.07,KG,80.851,CM3,MECH,02,2016-06-11
P000000534,ROH,EA,818.041,KG,2.751,L,MECH,01,2026-03-16
P000000535,ROH,M,435.058,KG,45.307,M3,MECH,03,2020-08-30
P000000536,ROH,KG,695.168,KG,40.99,L,MECH,04,2015-08-20
P000000537,ROH,PC,890.849,KG,30.116,CM3,MECH,04,2012-12-21
P000000538,ROH,PC,829.094,KG,93.413,L,MECH,01,2024-01-05
P000000539,DIEN,L,364.409,KG,16.818,L,MECH,01,2025-11-23
P000000540,FERT,M,176.981,KG,99.819,CM3,MECH,01,2021-11-12
P000000541,ROH,KG,995.487,KG,56.936,M3,MECH,03,2022-07-07
P000000542,FERT,PC,245.178,KG,0.214,M3,MECH,01,2021-12-16
P000000543,ROH,PC,696.669,KG,66.946,M3,MECH,01,2024-12-17
P000000544,NLAG,M3,271.54,KG,38.017,CM3,MECH,01,2022-06-23
P000000545,ROH,L,106.992,KG,49.508,CM3,MECH,03,2018-12-05
P000000546,NLAG,EA,730.173,KG,35.228,CM3,MECH,03,2019-11-01
P000000547,FERT,EA,272.455,KG,44.907,M3,MECH,01,2024-06-16
P000000548,FERT,M,740.527,KG,47.579,L,MECH,03,2023-10-28
P000000549,ROH,M3,2.489,KG,45.105,CM3,MECH,01,2026-05-12
P000000550,DIEN,M3,127.204,KG,0.033,CM3,MECH,04,2019-12-12
P000000551,FERT,EA,996.816,KG,39.7,L,MECH,01,2015-10-08
P000000552,FERT,EA,599.656,KG,28.73,L,MECH,01,2012-04-14
P000000553,ROH,EA,336.887,KG,15.983,M3,MECH,01,2018-06-11
P000000554,ROH,EA,819.539,KG,54.016,CM3,MECH,03,2016-05-23
P000000555,ROH,EA,906.61,KG,94.983,M3,MECH,01,2023-07-11
P000000556,DIEN,PC,169.965,KG,98.51,CM3,MECH,02,2016-02-10
P000000557,ROH,EA,965.415,KG,34.953,CM3,MECH,01,2021-07-05
P000000558,HALB,M,311.522,KG,64.894,L,MECH,02,2024-04-22
P000000559,ROH,M,533.193,KG,66.19,M3,MECH,01,2015-11-18
P000000560,ROH,EA,347.936,KG,8.32,M3,MECH,02,2015-08-30
P000000561,FERT,EA,144.437,KG,39.187,CM3,MECH,04,2018-01-05
P000000562,DIEN,KG,287.891,KG,29.003,CM3,MECH,01,2024-09-22
P000000563,FERT,PC,683.94,KG,47.714,M3,MECH,03,2019-07-16
P000000564,ROH,KG,60.276,KG,46.125,L,MECH,02,2013-04-24
P000000565,FERT,L,609.397,KG,41.466,CM3,MECH,04,2019-08-25
P000000566,DIEN,EA,40.675,KG,25.096,CM3,MECH,01,2011-12-23
P000000567,NLAG,M2,507.87,KG,43.003,L,MECH,02,2017-01-07
P000000568,ROH,EA,593.159,KG,7.711,CM3,MECH,03,2022-12-07
P000000569,NLAG,M,1.195,KG,48.84,L,MECH,02,2012-08-19
P000000570,HALB,EA,869.735,KG,24.033,L,MECH,02,2011-11-05
P000000571,ROH,L,377.358,KG,47.098,L,MECH,01,2024-09-06
P000000572,ROH,EA,917.527,KG,67.111,M3,MECH,03,2011-11-15
P000000573,DIEN,M2,964.834,KG,75.329,M3,MECH,01,2021-07-31
P000000574,ROH,EA,429.826,KG,11.405,M3,MECH,03,2020-03-16
P000000575,DIEN,M3,165.302,KG,87.463,L,MECH,03,2025-07-27
P000000576,FERT,L,607.354,KG,67.224,CM3,MECH,03,2013-01-13
P000000577,ROH,EA,448.857,KG,24.469,L,MECH,01,2019-09-29
P000000578,ROH,M2,688.077,KG,71.757,CM3,MECH,04,2013-11-18
P000000579,ROH,M2,934.253,KG,22.192,M3,MECH,01,2017-09-20
P000000580,DIEN,L,880.46,KG,53.083,L,MECH,03,2015-04-30
P000000581,ROH,KG,11.667,KG,98.268,M3,MECH,01,2013-10-14
P000000582,ROH,PC,652.995,KG,57.107,M3,MECH,01,2024-05-21
P000000583,ROH,KG,535.369,KG,33.286,L,MECH,02,2019-06-30
P000000584,NLAG,L,962.498,KG,22.55,M3,MECH,01,2021-01-28
P000000585,DIEN,M2,126.182,KG,53.878,L,MECH,01,2024-09-06
P000000586,NLAG,PC,531.735,KG,34.045,M3,MECH,03,2023-09-16
P000000587,ROH,L,438.202,KG,11.184,L,MECH,04,2017-11-17
P000000588,ROH,EA,55.695,KG,96.669,M3,MECH,01,2011-12-12
P000000589,NLAG,EA,64.977,KG,55.694,CM3,MECH,02,2014-04-18
P000000590,HALB,EA,427.436,KG,4.097,M3,MECH,04,2016-01-22
P000000591,DIEN,M2,198.933,KG,91.903,CM3,MECH,01,2023-06-11
P000000592,ROH,L,589.715,KG,45.126,M3,MECH,02,2016-12-11
P000000593,DIEN,EA,395.066,KG,9.641,M3,MECH,01,2020-07-08
P000000594,ROH,M,37.678,KG,72.817,CM3,MECH,02,2021-01-24
P000000595,ROH,EA,813.946,KG,7.962,CM3,MECH,04,2026-02-06
P000000596,ROH,M2,630.448,KG,88.573,CM3,MECH,02,2020-08-26
P000000597,NLAG,M2,979.086,KG,32.933,L,MECH,03,2020-11-15
P000000598,FERT,KG,621.496,KG,45.915,M3,MECH,03,2024-10-23
P000000599,NLAG,L,63.455,KG,58.958,CM3,MECH,02,2011-08-12
P000000600,ROH,M,617.579,KG,18.275,CM3,MECH,02,2026-03-12
P000000601,DIEN,EA,164.684,KG,87.562,CM3,MECH,01,2018-12-30
P000000602,ROH,EA,694.932,KG,23.864,CM3,MECH,03,2021-03-22
P000000603,NLAG,KG,718.892,KG,42.538,CM3,MECH,01,2021-03-24
P000000604,FERT,M2,768.421,KG,1.612,M3,MECH,02,2023-04-21
P000000605,ROH,M2,494.587,KG,17.577,M3,MECH,04,2019-05-01
P000000606,NLAG,M,811.519,KG,17.82,L,MECH,03,2024-09-26
P000000607,FERT,EA,137.671,KG,63.278,CM3,MECH,01,2020-01-03
P000000608,NLAG,M,961.076,KG,47.701,M3,MECH,01,2020-02-03
P000000609,FERT,M2,650.797,KG,57.412,L,MECH,01,2017-04-10
P000000610,NLAG,M3,382.61,KG,75.639,L,MECH,01,2016-05-22
P000000611,HALB,M3,574.005,KG,29.353,CM3,MECH,01,2015-10-18
P000000612,ROH,KG,945.362,KG,72.259,CM3,MECH,01,2025-02-27
P000000613,ROH,M3,598.485,KG,32.668,M3,MECH,02,2018-07-04
P000000614,ROH,M3,90.808,KG,7.888,CM3,MECH,02,2014-10-28
P000000615,ROH,EA,399.886,KG,90.422,L,MECH,01,2013-07-18
P000000616,HALB,PC,299.043,KG,20.149,CM3,MECH,04,2020-11-12
P000000617,ROH,EA,861.956,KG,97.178,CM3,MECH,04,2013-09-22
P000000618,NLAG,PC,183.636,KG,17.909,M3,MECH,01,2022-04-24
P000000619,ROH,M3,729.234,KG,37.902,M3,MECH,01,2024-03-06
P000000620,NLAG,KG,111.869,KG,52.456,L,MECH,01,2018-07-23
P000000621,ROH,KG,585.104,KG,24.305,L,MECH,03,2024-10-04
P000000622,ROH,EA,481.17,KG,35.431,CM3,MECH,01,2011-06-29
P000000623,ROH,M,200.36,KG,93.314,CM3,MECH,03,2021-08-28
P000000624,HALB,L,516.451,KG,86.435,M3,MECH,01,2016-12-02
P000000625,ROH,M2,978.597,KG,38.99,M3,MECH,01,2019-11-12
P000000626,HALB,KG,496.774,KG,88.881,M3,MECH,04,2014-07-24
P000000627,HALB,M2,85.549,KG,69.651,M3,MECH,03,2015-04-14
P000000628,NLAG,EA,951.92,KG,71.18,L,MECH,04,2012-01-16
P000000629,ROH,M3,354.083,KG,7.121,M3,MECH,01,2016-03-09
P000000630,DIEN,L,508.583,KG,35.878,CM3,MECH,03,2021-04-06
P000000631,ROH,M3,9.476,KG,3.571,L,MECH,02,2017-03-13
P000000632,FERT,M,146.682,KG,90.524,L,MECH,02,2016-10-23
P000000633,HALB,L,576.316,KG,61.678,L,MECH,01,2014-08-15
P000000634,HALB,EA,118.723,KG,12.237,L,MECH,01,2023-08-06
P000000635,DIEN,EA,640.218,KG,98.03,M3,MECH,04,2017-04-13
P000000636,FERT,EA,605.122,KG,32.474,M3,MECH,03,2012-08-15
P000000637,DIEN,PC,924.875,KG,27.951,L,MECH,03,2015-01-18
P000000638,ROH,M2,368.555,KG,76.543,L,MECH,03,2013-02-27
P000000639,ROH,EA,929.328,KG,27.506,L,MECH,03,2012-07-12
P000000640,HALB,KG,552.997,KG,95.095,M3,MECH,02,2024-03-31
P000000641,HALB,KG,974.163,KG,64.524,M3,MECH,04,2019-08-06
P000000642,HALB,M,338.636,KG,4.607,M3,MECH,01,2019-12-10
P000000643,ROH,EA,938.029,KG,31.824,M3,MECH,04,2013-08-12
P000000644,DIEN,EA,745.934,KG,67.996,L,MECH,04,2015-11-04
P000000645,ROH,EA,218.173,KG,71.376,CM3,MECH,01,2015-04-02
P000000646,NLAG,EA,698.127,KG,91.563,L,MECH,03,2015-12-18
P000000647,FERT,M,422.619,KG,10.59,M3,MECH,04,2013-12-15
P000000648,ROH,EA,20.225,KG,73.926,L,MECH,01,2025-06-18
P000000649,ROH,L,439.639,KG,60.382,L,MECH,01,2025-05-19
P000000650,ROH,M,258.591,KG,36.078,L,MECH,01,2014-03-19
P000000651,NLAG,M,3.549,KG,63.615,CM3,MECH,04,2024-05-01
P000000652,ROH,M3,454.577,KG,33.291,CM3,MECH,04,2011-08-08
P000000653,ROH,M,989.823,KG,84.038,CM3,MECH,03,2013-02-14
P000000654,DIEN,PC,736.313,KG,60.46,CM3,MECH,03,2018-05-22
P000000655,ROH,EA,174.33,KG,6.147,M3,MECH,03,2022-04-27
P000000656,FERT,M,713.989,KG,36.676,CM3,MECH,01,2012-07-08
P000000657,FERT,EA,948.829,KG,48.737,L,MECH,03,2025-03-16
P000000658,HALB,M,120.873,KG,26.337,L,MECH,02,2022-02-22
P000000659,ROH,EA,684.093,KG,82.462,CM3,MECH,01,2024-02-25
P000000660,ROH,L,101.312,KG,37.799,M3,MECH,01,2026-04-13
P000000661,ROH,KG,325.109,KG,9.448,M3,MECH,04,2017-10-30
P000000662,NLAG,M2,876.018,KG,56.014,M3,MECH,03,2014-08-31
P000000663,FERT,M3,400.073,KG,70.884,CM3,MECH,04,2020-04-26
P000000664,NLAG,EA,155.958,KG,0.274,M3,MECH,01,2012-04-25
P000000665,FERT,M,880.169,KG,15.398,M3,MECH,04,2021-12-12
P000000666,ROH,KG,163.161,KG,33.732,L,MECH,02,2020-11-13
P000000667,NLAG,KG,410.564,KG,12.732,L,MECH,03,2023-07-07
P000000668,NLAG,M2,903.918,KG,63.503,L,MECH,01,2025-08-09
P000000669,ROH,PC,441.669,KG,65.706,M3,MECH,03,2020-04-02
P000000670,HALB,EA,906.773,KG,43.279,L,MECH,02,2019-05-12
P000000671,ROH,M,809.016,KG,94.278,L,MECH,01,2016-04-12
P000000672,ROH,KG,225.348,KG,10.227,M3,MECH,04,2021-11-30
P000000673,FERT,PC,963.935,KG,2.405,M3,MECH,01,2019-01-14
P000000674,FERT,M3,708.507,KG,26.11,CM3,MECH,03,2018-06-10
P000000675,ROH,EA,166.5,KG,89.829,CM3,MECH,03,2020-03-21
P000000676,ROH,M3,97.141,KG,32.042,M3,MECH,03,2026-03-10
P000000677,ROH,M2,522.867,KG,56.147,CM3,MECH,03,2013-05-21
P000000678,NLAG,KG,112.935,KG,64.823,CM3,MECH,02,2016-09-11
P000000679,ROH,PC,618.692,KG,9.891,M3,MECH,01,2014-04-18
P000000680,HALB,EA,265.192,KG,99.722,CM3,MECH,04,2024-07-26
P000000681,FERT,L,156.279,KG,24.71,M3,MECH,01,2017-05-20
P000000682,DIEN,PC,25.383,KG,14.012,L,MECH,03,2021-09-28
P000000683,FERT,KG,463.769,KG,74.314,L,MECH,04,2023-07-12
P000000684,FERT,L,811.745,KG,19.295,CM3,MECH,04,2012-06-17
P000000685,ROH,M,401.841,KG,67.314,L,MECH,02,2013-01-14
P000000686,ROH,M,272.469,KG,97.545,M3,MECH,03,2022-06-10
P000000687,FERT,M2,839.179,KG,98.258,CM3,MECH,01,2015-03-31
P000000688,ROH,EA,39.836,KG,65.278,M3,MECH,02,2025-12-29
P000000689,ROH,PC,669.07,KG,96.491,L,MECH,01,2026-01-04
P000000690,FERT,M3,369.414,KG,10.202,L,MECH,02,2023-05-09
P000000691,NLAG,L,5.258,KG,8.76,M3,MECH,04,2024-05-05
P000000692,ROH,M,132.892,KG,66.794,L,MECH,01,2018-08-06
P000000693,ROH,M,885.036,KG,70.523,CM3,MECH,01,2018-11-07
P000000694,HALB,M3,13.28,KG,17.078,M3,MECH,03,2016-08-18
P000000695,ROH,EA,723.917,KG,95.996,CM3,MECH,01,2022-06-12
P000000696,DIEN,EA,887.578,KG,27.2,M3,MECH,02,2017-05-09
P000000697,HALB,EA,874.49,KG,42.041,CM3,MECH,01,2022-03-26
P000000698,DIEN,EA,394.98,KG,7.1,L,MECH,02,2023-04-16
P000000699,NLAG,EA,288.186,KG,62.406,L,MECH,01,2012-03-19
P000000700,DIEN,PC,161.251,KG,89.649,L,MECH,01,2019-07-08
P000000701,HALB,M3,699.5,KG,56.423,CM3,MECH,02,2018-03-21
P000000702,ROH,L,466.625,KG,60.533,CM3,MECH,01,2023-03-16
P000000703,FERT,PC,774.598,KG,88.964,CM3,MECH,02,2012-05-18
P000000704,ROH,M3,421.013,KG,24.804,CM3,MECH,01,2025-04-11
P000000705,ROH,M3,91.606,KG,1.172,L,MECH,02,2020-08-21
P000000706,NLAG,L,889.26,KG,25.105,L,MECH,03,2020-08-24
P000000707,DIEN,EA,702.502,KG,46.326,M3,MECH,01,2025-07-12
P000000708,DIEN,M3,6.936,KG,65.833,M3,MECH,03,2025-09-26
P000000709,ROH,EA,460.956,KG,96.923,CM3,MECH,02,2019-03-18
