BP_NUMBER,bp_type,NAME1,NAME2,COUNTRY,CURRENCY,TAX_NUMBER,LANGUAGE,created_at
0000000933,VEND,Cirino Vasconcelos Ltda.,e Filhos,DE,KRW,0073590132,P,2014-03-27
0000000934,VEND,Junk,,NL,JPY,8118448789,F,2016-10-20
0000000935,VEND,"Ward, Thomas and Gill",SARL,ES,KRW,7950470062,D,2014-11-29
0000000936,VEND,Le Roux,S/A,CN,CHF,8531502743,P,2015-09-08
0000000937,VEND,Cardoso,LLC,FR,USD,,F,2012-03-26
0000000938,VEND,Hudson-Garcia,Inc,BE,GBP,7422120373,D,2023-01-27
0000000939,VEND,Williamson and Sons,Inc,CH,EUR,1618030387,D,2021-10-28
0000000940,VEND,"Hawkins, Bailey and Morgan",,IT,EUR,4457352640,J,2021-03-05
0000000941,VEND,Lebrun,and Sons,GB,JPY,7481873178,J,2023-11-18
0000000943,VEND,株式会社鈴木鉱業,,GB,EUR,8487426154,F,2025-12-10
0000000944,VEND,Fisher Inc,S.A.,IT,USD,,J,2016-04-06
0000000945,VEND,日本電気株式会社,Group,PL,CHF,,P,2011-06-27
0000000946,VEND,"Diaz, Eaton and Buchanan",,FR,JPY,3073546007,D,2018-06-26
0000000947,VEND,Blondel,S.A.S.,PL,EUR,3916913946,D,2019-06-20
0000000948,VEND,Chauvin,,BR,JPY,8103202240,D,2016-06-10
0000000949,VEND,Jacob GbR,S.A.,MX,EUR,1560232474,E,2025-05-21
0000000950,VEND,Peixoto,Inc,JP,USD,5103016404,D,2015-12-29
0000000951,VEND,Fleury Hervé SA,Ltd,DE,EUR,8724036480,E,2020-08-31
0000000952,VEND,Whitehead and Sons,and Sons,KR,EUR,,D,2022-07-12
0000000953,VEND,Vallée et Fils,PLC,NL,KRW,,D,2022-10-21
0000000954,VEND,Jones-Clarke,and Sons,CN,EUR,0175426988,F,2012-08-21
0000000955,VEND,Meunier,and Sons,FR,JPY,8219415176,E,2020-04-25
0000000956,VEND,Schäfer Schleich Stiftung & Co. KGaA,Ltd,CH,EUR,,D,2022-01-27
0000000957,VEND,Schneider-Harris,Inc,ES,KRW,2828183255,J,2011-08-13
0000000958,VEND,"Long, Smith and Archer",,MX,BRL,9415354318,E,2011-07-17
0000000959,VEND,株式会社石井食品,,KR,EUR,4385512998,J,2024-03-11
0000000960,VEND,Gomes Simon S.A.R.L.,Ltda.,ES,KRW,5127011836,E,2026-06-02
0000000961,VEND,Harrison PLC,Ltda.,IT,EUR,7220501160,F,2011-08-14
0000000962,VEND,Melo,,DE,EUR,5862071389,E,2023-12-22
0000000963,VEND,Silveira Abreu - ME,PLC,IT,EUR,4899615160,E,2021-07-02
0000000964,VEND,Pires,,ES,EUR,,D,2014-04-27
0000000965,VEND,Kaul GmbH & Co. KG,LLC,JP,EUR,4326417225,P,2026-01-22
0000000966,VEND,"Aguilar, West and Hall",GmbH,KR,CNY,6723561194,F,2022-07-18
0000000967,VEND,شركة أرامكو السعودية,Ltd,CA,CNY,7858599192,F,2024-05-10
0000000968,VEND,Coste,SA,CN,GBP,7476219893,J,2017-06-03
0000000969,VEND,Jones-Baldwin,Group,AU,EUR,1157913678,D,2017-03-29
0000000970,VEND,Shepherd-Fields,LLC,AU,CAD,,P,2012-11-12
0000000971,VEND,Spencer-Howarth,S.A.S.,KR,CAD,7764237885,J,2012-11-29
0000000972,VEND,Molina Ltd,AG,BR,EUR,7639160076,P,2024-02-15
0000000973,VEND,Dörschner Schulz Stiftung & Co. KG,et Fils,CA,CAD,,E,2025-01-08
0000000974,VEND,David,,CA,EUR,8557797484,P,2016-06-21
0000000975,VEND,Morgan-Hamilton,et Fils,CA,EUR,4309953218,J,2021-09-16
0000000976,VEND,Porter-Munoz,Ltd,CA,EUR,4137078703,F,2012-03-01
0000000977,VEND,Humphrey-Salinas,SA,GB,CNY,7643593256,F,2012-01-16
0000000978,VEND,"Mason, Thomas and Leonard",S/A,CN,EUR,,J,2024-02-17
0000000979,VEND,Lee Group,,FR,CAD,5545388223,J,2026-05-01
0000000981,VEND,Johnston-Fleming,Group,US,USD,8072743585,F,2012-07-16
0000000982,VEND,Boutin,and Sons,FR,CAD,,P,2012-05-01
0000000983,VEND,da Rocha,PLC,AU,AUD,1943425482,D,2020-01-26
0000000984,VEND,Weitzel,,MX,BRL,1097630286,E,2015-04-26
0000000985,VEND,Dussen van Staude GmbH,,ES,CHF,1730431138,D,2012-02-04
0000000986,VEND,Stanton-Flores,GmbH & Co. KG,AT,EUR,7916659144,D,2024-01-17
0000000987,VEND,Albert Boutin S.A.,,AT,BRL,,J,2022-02-02
0000000988,VEND,Bentley and Sons,e Filhos,IT,GBP,0158967196,E,2023-10-07
0000000989,VEND,"James, Peters and Bennett",,IT,CAD,8941523598,E,2024-06-06
0000000990,VEND,株式会社中川銀行,S/A,CA,EUR,7634339971,D,2017-10-04
0000000991,VEND,Seguin S.A.,S.A.R.L.,CA,USD,2816025334,E,2015-06-26
0000000992,VEND,"Gardiner, Talbot and Barrett",,BR,JPY,2539837453,P,2013-08-08
0000000993,VEND,Loiseau,AG,SE,CAD,1318763954,D,2016-07-15
0000000994,VEND,Burns-Dawson,,AT,JPY,8709791542,J,2012-03-19
0000000996,VEND,Pineda LLC,GmbH & Co. KGaA,GB,EUR,,F,2014-11-01
0000000997,VEND,Mude Lindner AG,- EI,CN,BRL,4319262197,E,2017-09-07
0000000998,VEND,Launay Delahaye SARL,,CH,CNY,6660632879,F,2016-10-18
0000000999,VEND,Farias S.A.,Group,IT,EUR,1789426032,E,2019-05-20
0000001000,VEND,Castro - EI,,CA,GBP,,E,2013-08-11
0000001002,VEND,Castro LLC,S.A.S.,BR,EUR,3959070097,P,2012-12-19
0000001003,VEND,Reynolds Ltd,,KR,CHF,5686804779,E,2024-06-16
0000001004,VEND,Hardy Group,Stiftung & Co. KGaA,GB,USD,,F,2014-12-17
0000001006,VEND,Eberhardt,SARL,AT,EUR,3888069733,E,2023-11-28
0000001007,VEND,Reynolds PLC,GbR,AU,EUR,,P,2014-03-04
0000001008,VEND,McDonald PLC,SA,GB,EUR,3847106897,F,2012-05-16
0000001009,VEND,Menard Grenier SA,Group,NL,JPY,5525687088,P,2023-01-21
0000001010,VEND,Nogueira Cavalcanti - EI,,MX,GBP,5210460598,E,2024-07-29
0000001011,VEND,Zahn,GmbH,ES,JPY,5726348550,F,2022-10-11
0000001012,VEND,太田通信有限会社,,FR,CHF,6056904364,P,2015-07-07
0000001013,VEND,Sá,Ltd,GB,EUR,9275006921,F,2020-12-18
0000001014,VEND,Vasconcelos S.A.,LLC,SE,CAD,,E,2011-11-20
0000001015,VEND,Lebrun et Fils,,IN,AUD,5577018307,E,2020-01-12
0000001016,VEND,Kostolzin Austermühle OHG mbH,SA,CH,GBP,7124346834,F,2015-03-24
0000001017,VEND,Gonzales PLC,GmbH,NL,EUR,1586940948,J,2020-11-05
0000001018,VEND,Muller,LLC,SE,EUR,4769171359,J,2018-03-02
0000001019,VEND,有限会社田中食品,S.A.,NL,CNY,2750636229,D,2019-06-28
0000001020,VEND,Cassiano,,DE,CNY,,J,2014-04-13
0000001021,VEND,Pires,- EI,PL,EUR,,D,2016-06-11
0000001022,VEND,Knight Ltd,PLC,CN,CNY,6566020762,F,2026-05-27
0000001023,VEND,Câmara,Ltda.,JP,BRL,,E,2022-06-09
0000001024,VEND,Gotthard Schweitzer GmbH,,PL,CAD,,E,2022-09-16
0000001025,VEND,Potier Martin SARL,LLC,MX,AUD,,F,2025-08-23
0000001026,VEND,Moran Inc,,GB,EUR,3266318829,E,2016-08-11
0000001027,VEND,Le Goff Besnard SARL,and Sons,DE,USD,2796855965,E,2015-12-18
0000001028,VEND,Burgess LLC,,CH,EUR,8855763416,D,2019-09-05
0000001029,VEND,Süßebier,Ltd,CH,KRW,5910518507,E,2012-12-14
0000001030,VEND,Berger AG,,BE,CNY,,D,2025-05-11
0000001031,VEND,Reid and Sons,SA,IT,JPY,,D,2023-10-20
0000001032,VEND,有限会社藤田食品,,MX,EUR,,D,2023-07-04
0000001033,VEND,清水情報株式会社,Ltd,US,EUR,1428234282,F,2024-12-16
0000001034,VEND,Smith LLC,Ltd,IN,EUR,6236076826,J,2025-04-11
0000001035,VEND,Guyot,S.A.R.L.,KR,CAD,1140915581,E,2011-07-17
0000001036,VEND,Jones Inc,,NL,GBP,4945905375,D,2025-06-13
0000001037,VEND,岡田鉱業有限会社,e.G.,US,USD,9850478825,F,2013-05-19
0000001038,VEND,Kostolzin GmbH,- EI,MX,USD,6932152995,E,2022-01-03
0000001039,VEND,Müller GmbH,GmbH & Co. KGaA,DE,USD,1717118822,P,2021-01-28
0000001040,VEND,Wood-Martin,,BR,EUR,3097204868,J,2017-04-19
0000001041,VEND,Société Générale,AG,IT,JPY,,P,2024-04-01
0000001042,VEND,Mielcarek Stiftung & Co. KG,,PL,AUD,9299322394,F,2018-12-11
0000001043,VEND,Kent-Rose,,IN,CAD,1330772629,D,2024-10-06
0000001044,VEND,Moran Group,Ltd,FR,EUR,3651956545,P,2020-06-13
0000001045,VEND,Bigot,,NL,USD,2416447968,E,2023-01-07
0000001046,VEND,Plath,LLC,BR,AUD,7151525862,D,2020-09-19
0000001047,VEND,中村通信合同会社,Group,BR,KRW,7576449322,E,2025-03-09
0000001049,VEND,Jesus,- EI,BR,GBP,3442907122,E,2022-01-27
0000001050,VEND,Holsten Bonbach GmbH,PLC,CA,USD,3829553631,F,2023-02-10
0000001051,VEND,Riou,,CH,CAD,8786777110,J,2013-07-05
0000001052,VEND,"Storey, Knowles and Short",Ltd,JP,AUD,6211375964,J,2023-01-21
0000001053,VEND,Seguin,,AU,CNY,,P,2025-02-03
0000001054,VEND,Burrows-Freeman,,AU,JPY,9960432061,F,2011-09-16
0000001055,VEND,Raynaud,Ltd,FR,KRW,,D,2018-11-04
0000001056,VEND,Heydrich Köhler AG,,US,USD,,P,2014-09-12
0000001057,VEND,شركة أرامكو السعودية,,SE,EUR,,F,2025-03-27
0000001058,VEND,Machado Ltda.,S/A,DE,JPY,2866771902,P,2015-09-18
0000001059,VEND,Ward and Sons,,BE,CAD,6078638124,J,2019-12-01
0000001060,VEND,"Garrett, Williams and Bonilla",GmbH & Co. KG,KR,EUR,8480852282,D,2016-09-26
0000001061,VEND,Mckay LLC,Inc,GB,EUR,4707883599,E,2020-08-19
0000001063,VEND,Curtis LLC,LLC,ES,EUR,3919986277,J,2025-10-29
0000001064,VEND,Wilmsen,,US,BRL,,F,2016-09-24
0000001065,VEND,Jacobi Jäckel Reichmann Stiftung & Co. KGaA,,CH,EUR,6699149825,E,2016-01-12
0000001066,VEND,شركة أرامكو السعودية,,AU,GBP,8186955961,D,2025-08-25
0000001067,VEND,Novaes e Filhos,S.A.S.,BR,USD,,F,2021-04-27
0000001068,VEND,Moreau,,MX,CHF,3597280466,P,2019-04-06
0000001069,VEND,渡辺ガス合同会社,GmbH & Co. KG,US,CNY,0887757873,E,2019-03-23
0000001070,VEND,Hendriks Hiller AG & Co. KGaA,Ltd,DE,CAD,7766800027,E,2016-08-06
0000001071,VEND,Société Générale,LLC,AU,CNY,7108669479,E,2024-09-30
0000001072,VEND,Bruneau,PLC,CH,EUR,4762599672,E,2017-04-21
0000001073,VEND,Wilkinson-Smith,,FR,GBP,2858913089,D,2020-06-05
0000001074,VEND,株式会社橋本通信,,CN,USD,3531234692,P,2020-12-29
0000001075,VEND,"Smith, Mason and Quinn",,AT,BRL,,E,2018-10-21
0000001076,VEND,合同会社渡辺鉱業,,CA,EUR,8539874573,F,2015-10-23
0000001077,VEND,Albert Boutin S.A.,PLC,MX,CHF,4150765233,J,2019-11-19
0000001078,VEND,Flores-Elliott,and Sons,CH,GBP,9835874744,F,2025-01-12
0000001079,VEND,Gomez Ltd,and Sons,ES,USD,5567123016,F,2014-10-11
0000001080,VEND,山口鉱業合同会社,GmbH,GB,USD,3884101795,D,2015-11-27
0000001081,VEND,Stahr Lindner AG,,IN,KRW,9583960483,J,2018-09-10
0000001082,VEND,伊藤運輸有限会社,e.V.,PL,EUR,1015984555,D,2022-05-22
0000001083,VEND,"Ward, Jones and Stevenson",,BE,EUR,5173723423,E,2020-01-25
0000001084,VEND,Cole-Harrison,Ltda.,CN,EUR,4326995376,P,2026-01-17
0000001085,VEND,Scott PLC,,IN,AUD,,J,2015-06-15
0000001086,VEND,da Cunha Monteiro S/A,S.A.R.L.,DE,GBP,9106183554,F,2024-01-11
0000001087,VEND,Dowerg Adler GmbH & Co. KGaA,and Sons,BR,AUD,,E,2018-04-15
0000001088,VEND,Schaaf,Ltd,KR,GBP,3066655751,D,2018-04-17
0000001089,VEND,"Perkins, Lee and Parkes",- ME,NL,CNY,,P,2022-11-23
0000001090,VEND,Müller GmbH,GmbH & Co. KGaA,DE,JPY,1910164608,D,2020-04-22
0000001091,VEND,Leclerc Lombard SA,,CH,CHF,4171544396,J,2015-10-28
0000001092,VEND,Silveira,Ltda.,DE,EUR,3380665256,E,2016-12-09
0000001093,VEND,Weinhold GbR,,BE,AUD,4528315338,P,2019-12-21
0000001094,VEND,Staude,,AT,CAD,3178902367,D,2020-11-30
0000001095,VEND,Le Roux,PLC,FR,CAD,9795593665,E,2025-03-26
0000001096,VEND,Blanchet S.A.,S.A.R.L.,AT,BRL,7257730638,E,2023-10-03
0000001097,VEND,Lopes Blanchet S.A.S.,KG,AT,EUR,4890217720,P,2020-04-17
0000001098,VEND,Duarte,,CH,CHF,5730452319,E,2017-06-21
0000001099,VEND,Guillet,GbR,PL,EUR,3524624702,J,2012-01-09
0000001100,VEND,Ritter e.V.,Inc,AT,EUR,,E,2013-11-27
0000001101,VEND,"Lamb, Ward and Scott",AG,IT,AUD,7390490782,J,2016-12-10
0000001102,VEND,Vieira,AG & Co. OHG,PL,JPY,5373350206,F,2017-07-15
0000001104,VEND,Wagenknecht Röhrdanz AG,and Sons,SE,EUR,,J,2013-01-25
0000001105,VEND,Butler-Johns,PLC,FR,AUD,7241742265,P,2023-10-18
0000001107,VEND,Heser Wende GmbH,S.A.,JP,EUR,6462788663,D,2017-05-10
0000001108,VEND,Besnard,GbR,AT,CHF,9525800096,P,2020-04-25
0000001109,VEND,Prévost Girard SA,,ES,KRW,8611839497,E,2013-05-08
0000001110,VEND,有限会社長谷川食品,S.A.,CA,EUR,2362190361,E,2014-11-15
0000001111,VEND,Johnson-Read,Ltd,BE,GBP,4932738488,F,2024-04-02
0000001112,VEND,Pinto,Inc,CH,CAD,,E,2016-08-27
0000001113,VEND,合同会社後藤保険,PLC,IT,EUR,,F,2019-04-06
0000001114,VEND,Mata-Welch,LLC,NL,GBP,1115082486,P,2025-03-20
0000001115,VEND,da Paz,,GB,EUR,5047570974,D,2018-12-22
0000001116,VEND,Parker-Nguyen,,FR,EUR,,E,2013-10-29
0000001117,VEND,佐藤農林合同会社,- ME,CH,BRL,2093829635,J,2021-02-25
0000001118,VEND,Neureuther,and Sons,IN,CNY,,E,2014-08-07
0000001119,VEND,Leão,,CN,JPY,,J,2023-02-17
0000001120,VEND,Jungfer GmbH & Co. OHG,e Filhos,GB,USD,5500479626,D,2017-08-13
0000001121,VEND,合同会社加藤通信,,AU,USD,0469575552,P,2018-10-19
0000001122,VEND,Duarte Ltda.,Ltd,CH,JPY,3272751421,J,2021-07-28
0000001123,VEND,"French, Hodge and Kerr",and Sons,ES,CAD,,E,2023-11-12
0000001124,VEND,Leão,Inc,DE,CHF,9207310837,J,2014-03-04
0000001125,VEND,"Harris, Fry and Woodward",Ltd,NL,CNY,3703872621,E,2012-12-18
0000001126,VEND,Fischer,S.A.,JP,USD,5214957957,J,2019-03-05
0000001127,VEND,Pieper,Ltd,FR,CAD,3749762202,J,2019-02-16
0000001128,VEND,有限会社山崎銀行,S.A.S.,GB,CNY,,D,2017-06-27
0000001129,VEND,Souza Moreira e Filhos,S.A.,KR,AUD,9166665085,E,2018-07-19
0000001130,VEND,Klingelhöfer,et Fils,CA,KRW,9640821849,F,2020-08-10
0000001131,VEND,"Watson, Price and Brown",,CA,CAD,2388565665,E,2012-02-07
0000001132,VEND,有限会社井上印刷,Group,GB,EUR,,P,2022-02-25
0000001133,VEND,株式会社田中電気,LLC,JP,CNY,0433159998,E,2013-01-23
0000001134,VEND,合同会社山下印刷,Group,CH,USD,8902370240,F,2016-11-14
0000001135,VEND,Pascal,,BE,BRL,2157855048,E,2024-02-18
0000001136,VEND,長谷川銀行有限会社,,CN,GBP,3984010488,D,2013-04-13
0000001138,VEND,Techer Poirier SA,SA,IT,AUD,3733978503,D,2015-02-12
0000001139,VEND,"Allen, Little and Oneal",AG,US,KRW,5998900111,F,2020-12-19
0000001140,VEND,Riehl GmbH,LLC,AT,KRW,5018325512,E,2025-05-30
0000001141,VEND,Henck Rogner AG & Co. OHG,- EI,DE,USD,8727573182,D,2018-03-02
0000001142,VEND,Leroux Gaillard S.A.,GbR,MX,BRL,0859551495,F,2023-07-23
0000001143,VEND,Petitjean,Ltd,BE,USD,,P,2024-10-14
0000001144,VEND,Nerger e.V.,and Sons,SE,CHF,,E,2014-08-01
0000001145,VEND,Porto S/A,LLC,CN,EUR,,P,2023-05-16
0000001146,VEND,"Davidson, Stevens and Carr",,AU,GBP,9207705772,D,2020-10-29
0000001147,VEND,山口鉱業有限会社,Group,CA,EUR,,D,2016-11-02
0000001148,VEND,Klemt Benthin e.V.,,BE,EUR,8107412600,D,2019-12-19
0000001150,VEND,"Simpson, Gates and Green",,DE,CNY,9770744347,J,2025-08-04
0000001151,VEND,Ramos,,BR,EUR,,J,2023-12-08
0000001152,VEND,Wesack AG,Ltda.,CH,EUR,2362537863,E,2015-08-14
0000001153,VEND,Vasconcelos Rios e Filhos,SA,FR,CHF,,J,2012-01-11
0000001154,VEND,Holland-Jones,AG & Co. KG,AU,JPY,3519917737,E,2020-11-17
0000001155,VEND,Müller GmbH,S/A,US,EUR,,E,2012-11-12
0000001156,VEND,"Robinson, Powell and Potts",- ME,IT,EUR,5188934773,E,2018-08-16
0000001157,VEND,Castro Ramos S.A.,S.A.,DE,JPY,3457682541,J,2023-08-03
0000001159,VEND,Johnson-Miller,Inc,ES,GBP,0421998939,E,2013-11-15
0000001162,VEND,"Griffin, Martin and Mills",S/A,ES,EUR,,E,2023-10-12
0000001163,VEND,Scholz Stiftung & Co. KG,KG,JP,CNY,,J,2021-01-02
0000001164,VEND,Carlier et Fils,et Fils,SE,EUR,1431509707,E,2016-03-09
0000001165,VEND,Blümel GmbH & Co. KG,KG,CA,CNY,0755405558,F,2023-05-21
0000001166,VEND,Schmidtke AG,and Sons,BE,EUR,,P,2012-12-13
0000001167,VEND,Perrot Gros et Fils,Inc,CH,EUR,4799581850,D,2016-09-15
0000001168,VEND,Dussen van Pruschke GbR,,IN,CHF,3313933736,P,2016-01-19
0000001169,VEND,Porto,LLC,DE,AUD,,E,2012-06-29
0000001170,VEND,福田通信有限会社,and Sons,CN,BRL,6236595679,P,2022-10-08
0000001171,VEND,Moraes,e Filhos,CH,AUD,7285839313,J,2013-11-10
0000001172,VEND,Godard,,MX,USD,3665819320,J,2016-05-15
0000001173,VEND,Müller GmbH,Inc,DE,CAD,,D,2015-12-28
0000001174,VEND,Kabus GmbH & Co. KG,S/A,JP,JPY,2995521572,J,2021-08-14
0000001175,VEND,Spencer Ltd,S.A.,BR,EUR,0678449641,E,2017-05-13
0000001176,VEND,Stephens-Williams,Ltd,BE,AUD,4171448590,F,2020-02-05
0000001177,VEND,後藤建設合同会社,PLC,CA,EUR,2445209814,F,2017-10-01
0000001178,VEND,شركة أرامكو السعودية,Group,GB,AUD,8970964965,F,2022-08-16
0000001179,VEND,Säuberlich e.V.,,FR,AUD,5467953837,J,2023-09-25
0000001180,VEND,小林鉱業合同会社,Ltd,ES,JPY,,J,2016-11-28
0000001181,VEND,Lévêque Valette S.A.,Ltd,CA,EUR,,P,2022-11-04
0000001182,VEND,高橋銀行有限会社,and Sons,AT,USD,7502483991,P,2019-04-16
0000001183,VEND,"Burrows, Lucas and Taylor",SARL,PL,KRW,3442620471,E,2016-06-05
0000001184,VEND,Burton Ltd,S.A.R.L.,BR,BRL,3573739325,D,2014-12-12
0000001185,VEND,Bruneau S.A.R.L.,and Sons,SE,KRW,8106300721,D,2021-05-03
0000001186,VEND,前田食品株式会社,e Filhos,AU,KRW,9416203159,F,2026-05-15
0000001187,VEND,Lynch PLC,Inc,GB,AUD,3579539455,J,2016-03-15
0000001188,VEND,"Boyle, Johnson and Lee",Group,CH,EUR,9914921417,J,2012-05-13
0000001189,VEND,Röhricht,SA,MX,USD,4650320772,F,2021-05-03
0000001190,VEND,"Dunn, Harris and Wheeler",GbR,KR,AUD,,P,2015-07-03
0000001191,VEND,森印刷有限会社,Inc,BR,EUR,8169172314,F,2019-09-20
0000001192,VEND,株式会社三浦水産,,JP,EUR,5804267269,J,2023-04-20
0000001193,VEND,岡本ガス有限会社,,MX,CHF,3113718348,P,2018-07-20
0000001194,VEND,Loos,,NL,BRL,,P,2024-02-29
0000001195,VEND,有限会社佐藤情報,S/A,ES,KRW,3852219766,D,2021-10-08
0000001196,VEND,"Owen, Davis and Palmer",- ME,KR,EUR,3644592364,P,2023-05-09
0000001197,VEND,Peixoto,,BR,KRW,9418275430,J,2023-12-22
0000001198,VEND,Brun S.A.R.L.,PLC,PL,JPY,3178648971,D,2024-02-22
0000001199,VEND,Thomas LLC,Ltd,BR,KRW,,J,2022-12-20
0000001200,VEND,Gilbert,AG & Co. KG,CN,EUR,6853074401,J,2024-08-03
0000001201,VEND,"Green, Sawyer and Wise",S.A.,US,JPY,4572998726,P,2012-06-05
0000001202,VEND,Dupuis S.A.R.L.,LLC,CH,BRL,,F,2021-06-08
0000001203,VEND,Weller,Ltda.,SE,USD,1645693982,E,2019-11-04
0000001205,VEND,Ferreira,,DE,EUR,7034448077,D,2025-01-04
0000001206,VEND,合同会社村上水産,,NL,GBP,7064952761,F,2024-11-23
0000001207,VEND,Müller GmbH,Inc,PL,CHF,5297096501,F,2012-11-19
0000001208,VEND,Barry PLC,LLC,FR,EUR,,J,2024-04-14
0000001209,VEND,株式会社高橋建設,,MX,EUR,,J,2018-10-20
0000001211,VEND,Société Générale,SA,CH,EUR,1810070573,F,2013-03-31
0000001212,VEND,株式会社佐々木鉱業,,BR,EUR,8643681281,F,2023-08-27
0000001213,VEND,Lynch PLC,,NL,KRW,6993464905,P,2011-09-01
0000001215,VEND,Süßebier Henschel AG & Co. KGaA,Group,US,EUR,1185565761,D,2017-03-21
0000001217,VEND,Taylor Group,,CN,EUR,6363878931,P,2020-12-18
0000001218,VEND,有限会社渡辺保険,AG,CN,USD,1394759434,P,2024-11-21
0000001219,VEND,Taylor-Bass,S.A.,BR,BRL,3353685302,P,2023-12-13
0000001220,VEND,Marin,- ME,CH,EUR,,P,2021-07-01
0000001222,VEND,Moreau Pineau S.A.S.,e.V.,KR,AUD,,P,2022-03-05
0000001223,VEND,Société Générale,Group,BR,CAD,0140850708,F,2026-03-04
0000001224,VEND,伊藤運輸合同会社,,AU,EUR,,J,2022-01-08
0000001225,VEND,Dussen van Pruschke GbR,,AU,BRL,1874074991,P,2013-02-11
0000001226,VEND,Ramos - ME,Group,MX,EUR,,E,2025-11-09
0000001227,VEND,"Hill, Barker and Brown",PLC,CN,CHF,3144045684,E,2016-11-09
0000001228,VEND,加藤ガス有限会社,,DE,EUR,9587601213,D,2025-08-28
0000001229,VEND,Wilkinson and Sons,LLC,DE,CAD,1110397472,J,2013-06-01
0000001230,VEND,Chevallier et Fils,SA,CN,GBP,1242835946,P,2024-10-18
0000001231,VEND,Wesack,e Filhos,BE,USD,7049396411,P,2018-02-14
0000001232,VEND,Colon Ltd,SARL,SE,CAD,,P,2012-04-09
0000001233,VEND,Courtois et Fils,et Fils,DE,KRW,3808692732,P,2023-01-28
0000001234,VEND,Ruiz,Inc,CN,CHF,1200895413,J,2023-11-24
0000001235,VEND,"Snyder, Miller and Miller",GbR,US,EUR,,E,2026-03-01
0000001236,VEND,Potier,GmbH,BR,EUR,,F,2016-09-05
0000001237,VEND,Heydrich AG,,BR,EUR,,F,2021-06-20
0000001238,VEND,"McDonald, Johnson and Smith",AG & Co. KGaA,AU,USD,1286003422,E,2020-01-15
0000001240,VEND,Bailey LLC,,NL,CAD,4339069542,F,2017-05-08
0000001242,VEND,吉田水産株式会社,S/A,NL,EUR,3223097012,P,2018-10-05
0000001243,VEND,Boulay Dufour S.A.,S.A.,NL,CAD,7920894561,P,2013-07-08
0000001244,VEND,"Walker, Fisher and Shepherd",,AU,CAD,,J,2014-12-11
0000001245,VEND,Pottier S.A.,S.A.S.,AU,CNY,,E,2024-06-13
0000001246,VEND,有限会社山口電気,,SE,KRW,8458623913,J,2021-09-29
0000001247,VEND,Geisler Weimer GmbH & Co. KGaA,Inc,BR,AUD,5193298632,F,2018-04-06
0000001248,VEND,Pineau Pasquier et Fils,e.V.,AU,KRW,8624829229,F,2015-09-20
0000001249,VEND,合同会社佐藤保険,,ES,JPY,4628691105,D,2017-08-15
0000001250,VEND,Casa Grande,,GB,USD,,F,2016-07-27
0000001251,VEND,Stiffel Zahn KGaA,,CH,BRL,5104828017,P,2014-03-25
0000001252,VEND,Colin,,IN,USD,3561906283,P,2018-08-11
0000001253,VEND,Lucas Group,Group,KR,GBP,3215440987,F,2012-08-05
0000001254,VEND,有限会社井上ガス,Inc,IT,CAD,6684074198,D,2013-04-24
0000001255,VEND,株式会社佐藤電気,,BE,AUD,0354915751,F,2021-09-13
0000001256,VEND,Moreau,Inc,CA,CNY,5838527728,E,2023-04-12
0000001257,VEND,Schomber,et Fils,JP,BRL,7120813324,J,2015-02-19
0000001258,VEND,前田ガス株式会社,S.A.,JP,KRW,6871561220,P,2023-05-28
0000001259,VEND,Le Goff et Fils,KG,CA,CHF,1994038097,P,2021-02-06
0000001260,VEND,"Evans, Cox and Lambert",,BR,CHF,2206336066,E,2014-10-02
0000001261,VEND,Brown LLC,Inc,IN,BRL,,P,2025-04-04
0000001262,VEND,Blanchard SA,,AU,KRW,0320814018,F,2024-12-08
0000001263,VEND,Vargas,Ltda.,GB,BRL,2681110414,D,2025-05-23
0000001264,VEND,Mans Budig OHG mbH,PLC,ES,AUD,2922142648,D,2020-12-02
0000001265,VEND,Gibbons-Gibson,,KR,JPY,1793285864,F,2019-07-30
0000001266,VEND,"Harvey, Rogers and Martin",,IT,JPY,5342026349,F,2019-08-08
0000001267,VEND,Röhrdanz AG & Co. OHG,e Filhos,CH,EUR,1413270439,P,2015-06-21
0000001268,VEND,日本電気株式会社,Inc,BE,EUR,0425634431,E,2022-08-22
0000001269,VEND,Nunes,LLC,CN,CHF,2144654499,P,2020-06-25
0000001270,VEND,Flantz AG,AG & Co. KGaA,DE,USD,,E,2016-10-25
0000001272,VEND,藤田農林合同会社,,IT,EUR,0790298078,D,2021-07-01
0000001273,VEND,Société Générale,,BE,CNY,0499176549,E,2019-04-06
0000001274,VEND,شركة أرامكو السعودية,,CA,KRW,5166077386,J,2016-01-19
0000001275,VEND,Jenkins and Sons,- ME,NL,JPY,8309245004,F,2024-03-19
0000001276,VEND,Guerra Borges - ME,- EI,JP,CHF,0044418176,D,2018-01-07
0000001277,VEND,"Jones, Thomson and Parker",,JP,KRW,,P,2013-08-10
0000001278,VEND,有限会社後藤印刷,- ME,PL,BRL,,P,2015-01-13
0000001279,VEND,鈴木運輸株式会社,and Sons,CN,GBP,,D,2012-07-03
0000001280,VEND,Chandler PLC,PLC,KR,JPY,,F,2024-04-13
0000001281,VEND,株式会社山口銀行,Ltd,CA,EUR,,D,2017-07-27
0000001282,VEND,Martins,,AT,BRL,2245852771,F,2020-10-11
0000001283,VEND,Nicolas,et Fils,JP,CHF,9895534575,J,2023-12-24
