PO_NUMBER,VENDOR,COMPANY_CODE,PURCH_ORG,CURRENCY,DOCUMENT_DATE,STATUS
0200001210,0000001845,4000,PO03,USD,2020-02-25,OPEN
0200001211,0000001140,1000,PO02,USD,2020-02-26,OPEN
0200001214,0000000599,2000,PO01,USD,2020-03-01,OPEN
0200001215,0000001372,3000,PO03,USD,2020-03-03,OPEN
0200001216,0000001350,2000,PO01,USD,2020-03-05,OPEN
0200001217,0000000257,4000,PO01,USD,2020-03-06,OPEN
0200001218,0000001767,5000,PO02,USD,2020-03-06,OPEN
0200001220,0000000719,1000,PO01,USD,2020-03-09,OPEN
0200001221,0000000510,1000,PO02,USD,2020-03-12,OPEN
0200001222,0000000636,3000,PO03,USD,2020-03-13,OPEN
0200001223,0000001351,2000,PO01,USD,2020-03-16,OPEN
0200001224,0000000811,1000,PO02,USD,2020-03-18,OPEN
0200001225,0000000292,1000,PO02,USD,2020-03-18,OPEN
0200001226,0000000457,4000,PO03,USD,2020-03-18,OPEN
0200001229,0000001357,1000,PO01,USD,2020-03-23,OPEN
0200001230,0000000663,3000,PO02,USD,2020-03-25,OPEN
0200001231,0000001066,4000,PO02,USD,2020-03-28,OPEN
0200001232,0000001059,2000,PO01,USD,2020-03-28,OPEN
0200001233,0000001010,2000,PO01,USD,2020-03-30,OPEN
0200001234,0000001388,1000,PO01,USD,2020-03-30,OPEN
0200001237,0000000262,3000,PO01,USD,2020-04-03,OPEN
0200001238,0000001449,1000,PO03,USD,2020-04-05,OPEN
0200001239,0000001086,1000,PO03,USD,2020-04-08,OPEN
0200001242,0000001391,4000,PO03,USD,2020-04-12,OPEN
0200001243,0000000570,4000,PO01,USD,2020-04-12,OPEN
0200001244,0000001921,2000,PO02,USD,2020-04-14,OPEN
0200001245,0000001621,4000,PO01,USD,2020-04-16,OPEN
0200001246,0000000249,5000,PO02,USD,2020-04-19,OPEN
0200001247,0000001008,2000,PO03,USD,2020-04-20,OPEN
0200001248,0000001036,4000,PO02,USD,2020-04-21,OPEN
0200001249,0000000722,1000,PO01,USD,2020-04-23,OPEN
0200001250,0000000081,5000,PO03,USD,2020-04-23,OPEN
0200001251,0000001084,2000,PO01,USD,2020-04-25,OPEN
0200001252,0000000521,3000,PO03,USD,2020-04-27,OPEN
0200001253,0000000797,4000,PO02,USD,2020-04-28,OPEN
0200001254,0000001472,1000,PO03,USD,2020-04-30,OPEN
0200001255,0000001331,2000,PO02,USD,2020-05-03,OPEN
0200001256,0000000976,1000,PO02,USD,2020-05-04,OPEN
0200001258,0000000474,2000,PO03,USD,2020-05-08,OPEN
0200001259,0000000594,5000,PO02,USD,2020-05-08,OPEN
0200001261,0000001456,1000,PO02,USD,2020-05-13,OPEN
0200001262,0000001087,2000,PO02,USD,2020-05-13,OPEN
0200001264,0000001867,1000,PO02,USD,2020-05-17,OPEN
0200001266,0000000964,4000,PO01,USD,2020-05-21,OPEN
0200001267,0000001104,5000,PO02,USD,2020-05-22,OPEN
0200001268,0000001306,1000,PO01,USD,2020-05-22,OPEN
0200001269,0000000899,5000,PO02,USD,2020-05-23,OPEN
0200001270,0000001019,4000,PO01,USD,2020-05-26,OPEN
0200001272,0000000059,2000,PO01,USD,2020-05-29,OPEN
0200001273,0000000313,3000,PO02,USD,2020-05-30,OPEN
0200001275,0000000187,5000,PO02,USD,2020-06-01,OPEN
0200001276,0000001813,1000,PO02,USD,2020-06-01,OPEN
0200001277,0000000903,4000,PO01,USD,2020-06-04,OPEN
0200001279,0000001691,2000,PO02,USD,2020-06-10,OPEN
0200001282,0000000698,5000,PO02,USD,2020-06-19,OPEN
0200001283,0000001297,2000,PO03,USD,2020-06-22,OPEN
0200001286,0000001816,5000,PO03,USD,2020-06-25,OPEN
0200001288,0000001278,1000,PO03,USD,2020-06-25,OPEN
0200001290,0000001430,4000,PO01,USD,2020-06-26,OPEN
0200001292,0000001954,2000,PO01,USD,2020-06-28,OPEN
0200001293,0000001496,3000,PO03,USD,2020-07-01,OPEN
0200001295,0000000160,3000,PO02,USD,2020-07-03,OPEN
0200001296,0000000930,2000,PO01,USD,2020-07-04,OPEN
0200001297,0000001838,4000,PO01,USD,2020-07-07,OPEN
0200001298,0000000854,2000,PO02,USD,2020-07-07,OPEN
0200001300,0000001249,3000,PO02,USD,2020-07-08,OPEN
0200001303,0000001866,2000,PO03,USD,2020-07-13,OPEN
0200001305,0000001656,3000,PO01,USD,2020-07-17,OPEN
0200001306,0000000358,5000,PO03,USD,2020-07-19,OPEN
0200001307,0000001687,5000,PO03,USD,2020-07-22,OPEN
0200001311,0000001854,5000,PO02,USD,2020-07-29,OPEN
0200001312,0000001238,4000,PO02,USD,2020-07-30,OPEN
0200001313,0000001376,4000,PO02,USD,2020-08-01,OPEN
0200001314,0000001406,5000,PO03,USD,2020-08-03,OPEN
0200001315,0000001824,3000,PO01,USD,2020-08-04,OPEN
0200001316,0000000989,5000,PO02,USD,2020-08-05,OPEN
0200001317,0000000177,3000,PO01,USD,2020-08-05,OPEN
0200001319,0000000184,5000,PO01,USD,2020-08-07,OPEN
0200001320,0000000671,3000,PO02,USD,2020-08-08,OPEN
0200001321,0000000949,1000,PO01,USD,2020-08-09,OPEN
0200001322,0000001936,4000,PO02,USD,2020-08-12,OPEN
0200001323,0000000054,2000,PO01,USD,2020-08-13,OPEN
0200001325,0000000353,3000,PO02,USD,2020-08-19,OPEN
0200001328,0000001984,4000,PO01,USD,2020-08-25,OPEN
0200001329,0000000344,3000,PO02,USD,2020-08-25,OPEN
0200001330,0000000688,2000,PO02,USD,2020-08-26,OPEN
0200001332,0000000720,2000,PO02,USD,2020-08-30,OPEN
0200001333,0000000656,1000,PO01,USD,2020-08-30,OPEN
0200001334,0000001349,1000,PO03,USD,2020-08-30,OPEN
0200001335,0000001303,4000,PO02,USD,2020-08-31,OPEN
0200001336,0000001954,1000,PO03,USD,2020-09-02,OPEN
0200001337,0000000807,2000,PO01,USD,2020-09-04,OPEN
0200001339,0000000737,3000,PO01,USD,2020-09-07,OPEN
0200001340,0000001904,3000,PO02,USD,2020-09-09,OPEN
0200001341,0000000244,3000,PO03,USD,2020-09-09,OPEN
0200001342,0000001191,3000,PO03,USD,2020-09-09,OPEN
0200001345,0000001930,2000,PO02,USD,2020-09-14,OPEN
0200001346,0000001348,1000,PO03,USD,2020-09-15,OPEN
0200001347,0000000720,5000,PO01,USD,2020-09-16,OPEN
0200001348,0000000740,1000,PO01,USD,2020-09-17,OPEN
0200001350,0000000235,3000,PO02,USD,2020-09-18,OPEN
0200001351,0000001702,3000,PO03,USD,2020-09-20,OPEN
0200001352,0000000951,5000,PO02,USD,2020-09-20,OPEN
0200001354,0000000175,5000,PO03,USD,2020-09-24,OPEN
0200001355,0000000048,2000,PO02,USD,2020-09-24,OPEN
0200001356,0000000376,4000,PO02,USD,2020-09-25,OPEN
0200001358,0000001331,5000,PO01,USD,2020-09-30,OPEN
0200001359,0000001409,2000,PO02,USD,2020-10-03,OPEN
0200001361,0000001885,3000,PO03,USD,2020-10-06,OPEN
0200001362,0000001986,4000,PO02,USD,2020-10-06,OPEN
0200001364,0000001658,5000,PO03,USD,2020-10-11,OPEN
0200001365,0000000953,4000,PO03,USD,2020-10-11,OPEN
0200001366,0000001026,4000,PO02,USD,2020-10-11,OPEN
0200001367,0000001253,3000,PO02,USD,2020-10-13,OPEN
0200001368,0000001312,1000,PO02,USD,2020-10-13,OPEN
0200001370,0000000870,5000,PO02,USD,2020-10-17,OPEN
0200001372,0000000193,3000,PO02,USD,2020-10-20,OPEN
0200001374,0000000696,2000,PO03,USD,2020-10-20,OPEN
0200001375,0000001923,1000,PO01,USD,2020-10-23,OPEN
0200001376,0000001104,4000,PO01,USD,2020-10-23,OPEN
0200001378,0000000473,2000,PO02,USD,2020-10-26,OPEN
0200001379,0000001746,4000,PO03,USD,2020-10-29,OPEN
0200001381,0000000918,4000,PO02,USD,2020-11-02,OPEN
0200001382,0000001822,1000,PO02,USD,2020-11-02,OPEN
0200001384,0000000121,2000,PO01,USD,2020-11-04,OPEN
0200001385,0000000720,4000,PO02,USD,2020-11-04,OPEN
0200001386,0000000139,3000,PO03,USD,2020-11-07,OPEN
0200001387,0000001721,1000,PO02,USD,2020-11-09,OPEN
0200001388,0000001970,2000,PO02,USD,2020-11-12,OPEN
0200001390,0000000082,4000,PO01,USD,2020-11-16,OPEN
0200001395,0000001828,3000,PO02,USD,2020-11-18,OPEN
0200001396,0000000335,3000,PO03,USD,2020-11-21,OPEN
0200001397,0000001515,5000,PO01,USD,2020-11-24,OPEN
0200001399,0000001416,3000,PO01,USD,2020-11-29,OPEN
0200001401,0000000900,3000,PO02,USD,2020-12-02,OPEN
0200001402,0000001654,4000,PO03,USD,2020-12-02,OPEN
0200001403,0000000111,3000,PO01,USD,2020-12-05,OPEN
0200001404,0000000933,4000,PO02,USD,2020-12-07,OPEN
0200001406,0000000849,4000,PO01,USD,2020-12-09,OPEN
0200001407,0000000528,4000,PO03,USD,2020-12-12,OPEN
0200001408,0000001332,1000,PO02,USD,2020-12-15,OPEN
0200001409,0000001790,2000,PO01,USD,2020-12-17,OPEN
0200001410,0000001851,1000,PO03,USD,2020-12-17,OPEN
0200001411,0000000487,5000,PO01,USD,2020-12-20,OPEN
0200001412,0000000337,4000,PO02,USD,2020-12-23,OPEN
0200001416,0000000714,2000,PO01,USD,2020-12-29,OPEN
0200001417,0000001894,1000,PO01,USD,2021-01-01,OPEN
0200001419,0000000081,2000,PO03,USD,2021-01-04,OPEN
0200001422,0000001069,2000,PO03,USD,2021-01-11,OPEN
0200001425,0000000650,1000,PO01,USD,2021-01-15,OPEN
0200001428,0000000860,4000,PO02,USD,2021-01-17,OPEN
0200001429,0000001577,1000,PO02,USD,2021-01-17,OPEN
0200001430,0000000972,2000,PO02,USD,2021-01-19,OPEN
0200001431,0000000983,4000,PO03,USD,2021-01-21,OPEN
0200001432,0000001154,3000,PO03,USD,2021-01-21,OPEN
0200001433,0000000119,2000,PO02,USD,2021-01-23,OPEN
0200001434,0000001755,4000,PO02,USD,2021-01-24,OPEN
0200001436,0000000513,1000,PO03,USD,2021-01-25,OPEN
0200001437,0000000774,1000,PO02,USD,2021-01-25,OPEN
0200001438,0000001823,3000,PO02,USD,2021-01-26,OPEN
0200001439,0000000048,5000,PO01,USD,2021-01-29,OPEN
0200001443,0000000578,5000,PO01,USD,2021-02-03,OPEN
0200001444,0000001051,1000,PO01,USD,2021-02-04,OPEN
0200001445,0000001029,2000,PO02,USD,2021-02-05,OPEN
0200001446,0000001894,3000,PO02,USD,2021-02-05,OPEN
0200001447,0000000702,4000,PO01,USD,2021-02-08,OPEN
0200001449,0000000749,2000,PO02,USD,2021-02-12,OPEN
0200001451,0000001531,5000,PO03,USD,2021-02-15,OPEN
0200001452,0000000780,3000,PO01,USD,2021-02-15,OPEN
0200001453,0000001567,2000,PO03,USD,2021-02-17,OPEN
0200001454,0000001203,3000,PO02,USD,2021-02-17,OPEN
0200001457,0000001274,5000,PO02,USD,2021-02-21,OPEN
0200001458,0000001292,4000,PO02,USD,2021-02-21,OPEN
0200001459,0000000689,4000,PO02,USD,2021-02-24,OPEN
0200001460,0000001864,3000,PO02,USD,2021-02-25,OPEN
0200001462,0000001308,1000,PO02,USD,2021-03-01,OPEN
0200001464,0000001629,1000,PO01,USD,2021-03-03,OPEN
0200001465,0000001297,5000,PO02,USD,2021-03-03,OPEN
0200001467,0000001353,2000,PO03,USD,2021-03-03,OPEN
0200001468,0000001863,3000,PO03,USD,2021-03-06,OPEN
0200001470,0000000756,5000,PO02,USD,2021-03-09,OPEN
0200001472,0000001750,3000,PO01,USD,2021-03-13,OPEN
0200001474,0000000965,5000,PO02,USD,2021-03-18,OPEN
0200001475,0000001678,5000,PO03,USD,2021-03-19,OPEN
0200001476,0000000468,2000,PO03,USD,2021-03-22,OPEN
0200001477,0000001402,4000,PO02,USD,2021-03-23,OPEN
0200001478,0000001209,3000,PO02,USD,2021-03-26,OPEN
0200001479,0000000881,2000,PO03,USD,2021-03-27,OPEN
0200001481,0000001115,3000,PO01,USD,2021-03-30,OPEN
0200001482,0000001449,3000,PO01,USD,2021-04-01,OPEN
0200001483,0000001450,1000,PO03,USD,2021-04-03,OPEN
0200001485,0000001189,1000,PO02,USD,2021-04-06,OPEN
0200001486,0000000397,2000,PO02,USD,2021-04-08,OPEN
0200001487,0000001465,5000,PO02,USD,2021-04-08,OPEN
0200001488,0000001978,3000,PO03,USD,2021-04-11,OPEN
0200001490,0000000827,2000,PO02,USD,2021-04-13,OPEN
0200001492,0000000503,4000,PO02,USD,2021-04-17,OPEN
0200001493,0000001422,3000,PO03,USD,2021-04-18,OPEN
0200001495,0000001148,1000,PO02,USD,2021-04-19,OPEN
0200001497,0000000065,4000,PO02,USD,2021-04-22,OPEN
0200001498,0000001722,3000,PO02,USD,2021-04-24,OPEN
0200001500,0000001063,1000,PO03,USD,2021-04-29,OPEN
0200001501,0000001469,2000,PO03,USD,2021-04-29,OPEN
0200001503,0000000619,3000,PO02,USD,2021-04-30,OPEN
0200001505,0000000410,3000,PO01,USD,2021-04-30,OPEN
0200001506,0000000775,1000,PO02,USD,2021-05-02,OPEN
0200001507,0000000306,4000,PO03,USD,2021-05-02,OPEN
0200001508,0000001741,1000,PO02,USD,2021-05-02,OPEN
0200001509,0000001851,5000,PO02,USD,2021-05-05,OPEN
0200001511,0000001966,4000,PO02,USD,2021-05-08,OPEN
0200001512,0000000852,2000,PO02,USD,2021-05-10,OPEN
0200001514,0000000407,5000,PO02,USD,2021-05-16,OPEN
0200001516,0000001365,3000,PO01,USD,2021-05-20,OPEN
0200001517,0000000190,5000,PO03,USD,2021-05-23,OPEN
0200001518,0000000004,3000,PO03,USD,2021-05-26,OPEN
0200001519,0000000437,1000,PO02,USD,2021-05-26,OPEN
0200001520,0000000499,5000,PO03,USD,2021-05-28,OPEN
0200001521,0000000386,3000,PO02,USD,2021-05-30,OPEN
0200001522,0000001336,2000,PO01,USD,2021-06-01,OPEN
0200001523,0000001223,2000,PO03,USD,2021-06-01,OPEN
0200001524,0000000079,2000,PO03,USD,2021-06-03,OPEN
0200001525,0000001266,5000,PO03,USD,2021-06-04,OPEN
0200001527,0000000035,3000,PO01,USD,2021-06-04,OPEN
0200001531,0000001850,4000,PO02,USD,2021-06-13,OPEN
0200001532,0000001877,5000,PO02,USD,2021-06-14,OPEN
0200001537,0000000960,5000,PO03,USD,2021-06-23,OPEN
0200001539,0000001193,3000,PO01,USD,2021-06-29,OPEN
0200001542,0000000262,3000,PO01,USD,2021-07-04,OPEN
0200001543,0000001036,3000,PO01,USD,2021-07-06,OPEN
0200001547,0000000315,1000,PO01,USD,2021-07-08,OPEN
0200001548,0000001442,2000,PO01,USD,2021-07-11,OPEN
0200001549,0000001924,5000,PO02,USD,2021-07-14,OPEN
0200001550,0000001961,5000,PO02,USD,2021-07-15,OPEN
0200001552,0000000961,5000,PO01,USD,2021-07-18,OPEN
0200001554,0000001919,3000,PO01,USD,2021-07-22,OPEN
0200001557,0000000978,4000,PO03,USD,2021-07-23,OPEN
0200001558,0000001482,2000,PO02,USD,2021-07-26,OPEN
0200001560,0000001442,5000,PO02,USD,2021-07-27,OPEN
0200001562,0000001305,3000,PO01,USD,2021-07-31,OPEN
0200001563,0000001265,3000,PO03,USD,2021-08-01,OPEN
0200001565,0000001679,3000,PO02,USD,2021-08-03,OPEN
0200001566,0000001344,5000,PO03,USD,2021-08-03,OPEN
0200001567,0000001187,2000,PO01,USD,2021-08-03,OPEN
0200001569,0000000875,1000,PO03,USD,2021-08-08,OPEN
0200001570,0000001988,5000,PO02,USD,2021-08-09,OPEN
0200001571,0000000882,4000,PO01,USD,2021-08-11,OPEN
0200001573,0000000217,4000,PO03,USD,2021-08-14,OPEN
0200001575,0000000189,2000,PO03,USD,2021-08-17,OPEN
0200001576,0000001301,1000,PO02,USD,2021-08-19,OPEN
0200001578,0000001559,1000,PO02,USD,2021-08-22,OPEN
0200001580,0000001000,4000,PO02,USD,2021-08-22,OPEN
0200001581,0000001980,5000,PO02,USD,2021-08-24,OPEN
0200001584,0000000585,4000,PO03,USD,2021-08-27,OPEN
0200001585,0000001090,1000,PO01,USD,2021-08-29,OPEN
0200001586,0000001532,4000,PO01,USD,2021-08-29,OPEN
0200001588,0000001312,5000,PO01,USD,2021-09-03,OPEN
0200001590,0000001265,2000,PO01,USD,2021-09-07,OPEN
0200001591,0000001396,3000,PO02,USD,2021-09-10,OPEN
0200001592,0000001566,4000,PO02,USD,2021-09-10,OPEN
0200001594,0000001012,4000,PO03,USD,2021-09-11,OPEN
0200001595,0000001431,4000,PO02,USD,2021-09-13,OPEN
0200001596,0000001719,4000,PO03,USD,2021-09-16,OPEN
0200001597,0000000668,5000,PO03,USD,2021-09-18,OPEN
0200001598,0000000285,1000,PO01,USD,2021-09-20,OPEN
0200001600,0000000682,1000,PO02,USD,2021-09-22,OPEN
0200001601,0000000931,5000,PO03,USD,2021-09-23,OPEN
0200001602,0000001793,5000,PO01,USD,2021-09-26,OPEN
0200001603,0000000652,4000,PO02,USD,2021-09-28,OPEN
0200001605,0000001153,3000,PO03,USD,2021-10-01,OPEN
0200001606,0000000591,4000,PO02,USD,2021-10-04,OPEN
0200001608,0000000714,2000,PO02,USD,2021-10-06,OPEN
0200001610,0000001438,5000,PO01,USD,2021-10-10,OPEN
0200001612,0000001661,1000,PO02,USD,2021-10-10,OPEN
0200001613,0000001451,3000,PO01,USD,2021-10-12,OPEN
0200001614,0000000163,3000,PO02,USD,2021-10-15,OPEN
0200001615,0000001136,4000,PO02,USD,2021-10-16,OPEN
0200001616,0000001460,4000,PO02,USD,2021-10-16,OPEN
0200001617,0000000683,2000,PO01,USD,2021-10-19,OPEN
0200001618,0000001247,2000,PO02,USD,2021-10-19,OPEN
0200001619,0000000427,2000,PO02,USD,2021-10-21,OPEN
0200001621,0000001218,5000,PO02,USD,2021-10-25,OPEN
0200001623,0000001200,3000,PO03,USD,2021-10-29,OPEN
0200001625,0000001774,3000,PO02,USD,2021-11-01,OPEN
0200001627,0000000200,2000,PO02,USD,2021-11-04,OPEN
0200001628,0000001551,4000,PO03,USD,2021-11-07,OPEN
0200001629,0000000270,3000,PO01,USD,2021-11-07,OPEN
0200001630,0000001291,2000,PO03,USD,2021-11-08,OPEN
0200001631,0000000231,4000,PO01,USD,2021-11-09,OPEN
0200001632,0000000133,4000,PO02,USD,2021-11-12,OPEN
0200001633,0000001510,5000,PO01,USD,2021-11-12,OPEN
0200001634,0000001622,3000,PO03,USD,2021-11-15,OPEN
0200001636,0000001931,3000,PO02,USD,2021-11-18,OPEN
0200001637,0000000291,3000,PO02,USD,2021-11-20,OPEN
0200001639,0000001897,1000,PO02,USD,2021-11-23,OPEN
0200001641,0000001960,4000,PO01,USD,2021-11-25,OPEN
0200001642,0000000538,2000,PO02,USD,2021-11-28,OPEN
0200001643,0000001434,1000,PO03,USD,2021-11-28,OPEN
0200001644,0000000940,2000,PO01,USD,2021-12-01,OPEN
0200001646,0000001493,1000,PO02,USD,2021-12-07,OPEN
0200001647,0000001385,2000,PO02,USD,2021-12-09,OPEN
0200001648,0000001141,4000,PO01,USD,2021-12-10,OPEN
0200001650,0000001379,5000,PO03,USD,2021-12-11,OPEN
0200001652,0000001805,1000,PO02,USD,2021-12-13,OPEN
0200001653,0000000373,5000,PO02,USD,2021-12-16,OPEN
0200001654,0000001763,3000,PO02,USD,2021-12-16,OPEN
0200001655,0000000130,1000,PO01,USD,2021-12-17,OPEN
0200001656,0000001016,5000,PO02,USD,2021-12-18,OPEN
0200001658,0000000451,5000,PO03,USD,2021-12-24,OPEN
0200001659,0000001031,2000,PO02,USD,2021-12-24,OPEN
0200001660,0000000107,3000,PO02,USD,2021-12-27,OPEN
0200001661,0000001084,3000,PO03,USD,2021-12-27,OPEN
0200001664,0000001359,4000,PO03,USD,2022-01-03,OPEN
0200001665,0000000104,4000,PO03,USD,2022-01-06,OPEN
0200001666,0000001602,3000,PO02,USD,2022-01-07,OPEN
0200001668,0000000133,1000,PO02,USD,2022-01-13,OPEN
0200001669,0000001311,4000,PO01,USD,2022-01-15,OPEN
0200001670,0000001290,5000,PO01,USD,2022-01-15,OPEN
0200001671,0000000790,1000,PO02,USD,2022-01-18,OPEN
0200001672,0000001116,1000,PO03,USD,2022-01-20,OPEN
0200001674,0000000212,4000,PO01,USD,2022-01-25,OPEN
0200001675,0000000833,4000,PO03,USD,2022-01-27,OPEN
0200001677,0000001180,4000,PO02,USD,2022-01-31,OPEN
0200001680,0000001364,3000,PO02,USD,2022-02-06,OPEN
0200001681,0000001356,3000,PO02,USD,2022-02-09,OPEN
0200001682,0000001927,2000,PO02,USD,2022-02-09,OPEN
0200001683,0000001396,3000,PO01,USD,2022-02-09,OPEN
0200001685,0000001449,3000,PO01,USD,2022-02-10,OPEN
0200001686,0000000954,4000,PO02,USD,2022-02-11,OPEN
0200001687,0000000276,2000,PO01,USD,2022-02-12,OPEN
0200001688,0000000909,3000,PO02,USD,2022-02-14,OPEN
0200001689,0000000817,2000,PO02,USD,2022-02-14,OPEN
0200001690,0000001615,4000,PO01,USD,2022-02-14,OPEN
0200001692,0000000062,4000,PO02,USD,2022-02-18,OPEN
0200001694,0000001963,5000,PO03,USD,2022-02-24,OPEN
0200001695,0000000873,4000,PO02,USD,2022-02-26,OPEN
0200001697,0000000924,2000,PO02,USD,2022-02-27,OPEN
0200001698,0000001743,1000,PO02,USD,2022-02-27,OPEN
0200001699,0000001598,5000,PO02,USD,2022-02-27,OPEN
0200001700,0000000027,4000,PO01,USD,2022-02-28,OPEN
0200001701,0000000844,5000,PO01,USD,2022-03-01,OPEN
0200001702,0000000557,1000,PO03,USD,2022-03-01,OPEN
0200001703,0000001348,5000,PO02,USD,2022-03-01,OPEN
0200001704,0000000172,4000,PO01,USD,2022-03-01,OPEN
0200001706,0000000219,4000,PO03,USD,2022-03-05,OPEN
0200001708,0000001761,3000,PO01,USD,2022-03-05,OPEN
0200001709,0000000446,2000,PO02,USD,2022-03-06,OPEN
0200001710,0000000226,4000,PO02,USD,2022-03-07,OPEN
0200001713,0000000619,4000,PO03,USD,2022-03-11,OPEN
0200001714,0000000712,5000,PO02,USD,2022-03-11,OPEN
0200001716,0000000273,2000,PO02,USD,2022-03-16,OPEN
0200001717,0000001282,4000,PO01,USD,2022-03-17,OPEN
0200001718,0000001033,2000,PO03,USD,2022-03-19,OPEN
0200001720,0000001483,1000,PO02,USD,2022-03-23,OPEN
0200001721,0000001756,3000,PO01,USD,2022-03-26,OPEN
0200001722,0000001681,2000,PO02,USD,2022-03-27,OPEN
0200001726,0000001899,5000,PO02,USD,2022-04-05,OPEN
0200001729,0000001545,1000,PO03,USD,2022-04-10,OPEN
0200001730,0000000076,5000,PO02,USD,2022-04-11,OPEN
0200001733,0000001948,5000,PO02,USD,2022-04-18,OPEN
0200001734,0000000310,3000,PO02,USD,2022-04-20,OPEN
0200001735,0000000748,4000,PO03,USD,2022-04-21,OPEN
0200001736,0000001759,3000,PO01,USD,2022-04-21,OPEN
0200001737,0000000690,4000,PO02,USD,2022-04-24,OPEN
0200001739,0000001331,5000,PO02,USD,2022-04-27,OPEN
0200001740,0000001185,3000,PO01,USD,2022-04-30,OPEN
0200001741,0000000972,4000,PO03,USD,2022-04-30,OPEN
0200001742,0000000813,5000,PO02,USD,2022-04-30,OPEN
0200001744,0000001166,5000,PO03,USD,2022-05-02,OPEN
0200001745,0000000281,3000,PO03,USD,2022-05-02,OPEN
0200001746,0000001365,4000,PO02,USD,2022-05-04,OPEN
0200001747,0000000151,4000,PO01,USD,2022-05-05,OPEN
0200001748,0000001338,5000,PO02,USD,2022-05-05,OPEN
0200001750,0000000704,1000,PO02,USD,2022-05-08,OPEN
0200001751,0000000807,3000,PO03,USD,2022-05-11,OPEN
0200001752,0000001270,2000,PO01,USD,2022-05-12,OPEN
0200001753,0000000122,5000,PO01,USD,2022-05-14,OPEN
0200001756,0000001102,3000,PO02,USD,2022-05-17,OPEN
0200001757,0000001087,2000,PO01,USD,2022-05-17,OPEN
0200001759,0000000594,3000,PO02,USD,2022-05-21,OPEN
0200001760,0000000818,5000,PO02,USD,2022-05-24,OPEN
0200001762,0000001852,2000,PO01,USD,2022-05-26,OPEN
0200001764,0000000131,1000,PO01,USD,2022-05-29,OPEN
0200001765,0000001456,4000,PO02,USD,2022-05-30,OPEN
0200001766,0000001561,2000,PO02,USD,2022-05-31,OPEN
0200001767,0000001971,5000,PO02,USD,2022-06-03,OPEN
0200001768,0000000073,3000,PO02,USD,2022-06-05,OPEN
0200001769,0000001093,5000,PO03,USD,2022-06-05,OPEN
0200001772,0000001368,5000,PO01,USD,2022-06-12,OPEN
0200001774,0000000634,2000,PO01,USD,2022-06-15,OPEN
0200001775,0000000207,3000,PO02,USD,2022-06-15,OPEN
0200001777,0000000027,3000,PO02,USD,2022-06-18,OPEN
0200001778,0000000108,3000,PO03,USD,2022-06-19,OPEN
0200001780,0000001792,3000,PO03,USD,2022-06-21,OPEN
0200001781,0000000982,4000,PO01,USD,2022-06-21,OPEN
0200001782,0000000621,5000,PO01,USD,2022-06-23,OPEN
0200001783,0000000875,4000,PO03,USD,2022-06-23,OPEN
0200001785,0000000149,2000,PO03,USD,2022-06-27,OPEN
0200001786,0000000938,1000,PO02,USD,2022-06-27,OPEN
0200001788,0000000952,1000,PO03,USD,2022-07-02,OPEN
0200001789,0000001793,4000,PO02,USD,2022-07-04,OPEN
0200001790,0000001747,2000,PO02,USD,2022-07-07,OPEN
0200001791,0000000147,3000,PO02,USD,2022-07-10,OPEN
0200001792,0000001658,2000,PO03,USD,2022-07-11,OPEN
0200001795,0000000030,2000,PO03,USD,2022-07-16,OPEN
0200001796,0000000265,3000,PO02,USD,2022-07-16,OPEN
0200001798,0000000472,2000,PO02,USD,2022-07-19,OPEN
0200001799,0000000457,1000,PO03,USD,2022-07-19,OPEN
0200001800,0000001472,1000,PO01,USD,2022-07-19,OPEN
0200001802,0000000643,1000,PO03,USD,2022-07-21,OPEN
0200001803,0000001934,2000,PO02,USD,2022-07-23,OPEN
0200001806,0000001762,2000,PO03,USD,2022-07-24,OPEN
0200001808,0000001719,1000,PO01,USD,2022-07-28,OPEN
0200001809,0000000558,3000,PO03,USD,2022-07-30,OPEN
0200001811,0000001125,2000,PO02,USD,2022-08-01,OPEN
0200001812,0000000772,5000,PO03,USD,2022-08-04,OPEN
0200001813,0000000832,1000,PO03,USD,2022-08-06,OPEN
0200001817,0000000551,5000,PO02,USD,2022-08-09,OPEN
0200001818,0000001386,3000,PO02,USD,2022-08-11,OPEN
0200001820,0000001029,2000,PO01,USD,2022-08-16,OPEN
0200001822,0000001113,3000,PO02,USD,2022-08-18,OPEN
0200001823,0000001840,3000,PO01,USD,2022-08-19,OPEN
0200001824,0000000287,5000,PO02,USD,2022-08-21,OPEN
0200001825,0000001310,1000,PO01,USD,2022-08-24,OPEN
0200001826,0000000992,1000,PO01,USD,2022-08-25,OPEN
0200001827,0000001681,5000,PO03,USD,2022-08-26,OPEN
0200001829,0000001242,5000,PO02,USD,2022-08-26,OPEN
0200001830,0000001390,3000,PO02,USD,2022-08-26,OPEN
0200001832,0000000708,5000,PO03,USD,2022-08-28,OPEN
0200001833,0000000954,3000,PO03,USD,2022-08-31,OPEN
0200001834,0000001587,4000,PO03,USD,2022-09-01,OPEN
0200001837,0000000499,5000,PO02,USD,2022-09-04,OPEN
0200001839,0000001709,3000,PO01,USD,2022-09-10,OPEN
0200001841,0000001678,2000,PO01,USD,2022-09-13,OPEN
0200001842,0000000609,3000,PO02,USD,2022-09-14,OPEN
0200001843,0000000730,5000,PO02,USD,2022-09-14,OPEN
