PRODUCT_NUMBER,PLANT,MRP_TYPE,SAFETY_STOCK,REORDER_POINT,LOT_SIZE
P000001499,P007,PD,0,0,EX
P000000214,P004,PD,0,0,EX
P000001540,P003,PD,0,0,EX
P000001175,P002,PD,0,0,EX
P000001707,P004,PD,0,0,EX
P000000406,P003,VB,0,0,EX
P000000139,P008,PD,0,0,EX
P000001408,P001,PD,0,0,EX
P000000538,P001,VB,0,0,EX
P000000551,P002,VB,0,0,EX
P000001641,P004,VB,0,0,EX
P000001923,P002,PD,0,0,EX
P000001568,P010,PD,0,0,EX
P000000789,P007,PD,0,0,EX
P000001289,P008,PD,0,0,EX
P000001409,P007,VB,0,0,EX
P000001381,P007,VB,0,0,EX
P000001986,P009,PD,0,0,EX
P000001070,P001,VB,0,0,EX
P000001163,P007,VB,0,0,EX
P000001489,P010,PD,0,0,EX
P000001411,P010,VB,0,0,EX
P000001296,P004,VB,0,0,EX
P000000273,P006,PD,0,0,EX
P000001741,P010,PD,0,0,EX
P000001017,P010,PD,0,0,EX
P000000715,P009,PD,0,0,EX
P000001899,P004,PD,0,0,EX
P000000879,P001,VB,0,0,EX
P000000140,P009,PD,0,0,EX
P000001407,P003,PD,0,0,EX
P000000027,P003,PD,0,0,EX
P000000390,P004,PD,0,0,EX
P000001884,P010,PD,0,0,EX
P000001371,P004,PD,0,0,EX
P000001215,P010,VB,0,0,EX
P000000036,P001,PD,0,0,EX
P000000835,P006,VB,0,0,EX
P000001918,P010,PD,0,0,EX
P000000131,P005,VB,0,0,EX
P000001283,P007,PD,0,0,EX
P000001929,P006,PD,0,0,EX
P000000093,P007,PD,0,0,EX
P000001029,P005,PD,0,0,EX
P000000438,P010,PD,0,0,EX
P000000364,P009,PD,0,0,EX
P000001216,P009,PD,0,0,EX
P000000523,P004,PD,0,0,EX
P000000487,P003,PD,0,0,EX
P000000762,P006,PD,0,0,EX
P000000679,P005,PD,0,0,EX
P000001728,P009,PD,0,0,EX
P000001990,P001,PD,0,0,EX
P000000539,P001,PD,0,0,EX
P000000059,P006,VB,0,0,EX
P000000149,P007,PD,0,0,EX
P000001271,P008,PD,0,0,EX
P000000670,P010,PD,0,0,EX
P000000505,P006,PD,0,0,EX
P000001885,P006,VB,0,0,EX
P000001304,P005,VB,0,0,EX
P000001340,P008,PD,0,0,EX
P000000008,P001,PD,0,0,EX
P000000652,P010,VB,0,0,EX
P000001640,P002,VB,0,0,EX
P000001579,P003,VB,0,0,EX
P000000034,P010,PD,0,0,EX
P000001472,P008,VB,0,0,EX
P000000678,P002,PD,0,0,EX
P000001422,P006,PD,0,0,EX
P000001525,P008,PD,0,0,EX
P000000995,P003,PD,0,0,EX
P000000637,P007,PD,0,0,EX
P000001854,P009,VB,0,0,EX
P000001469,P001,PD,0,0,EX
P000001470,P004,VB,0,0,EX
P000001459,P003,PD,0,0,EX
P000000558,P002,PD,0,0,EX
P000001020,P010,PD,0,0,EX
P000000487,P002,VB,0,0,EX
P000000935,P003,PD,0,0,EX
P000001095,P002,PD,0,0,EX
P000001380,P007,PD,0,0,EX
P000001745,P010,VB,0,0,EX
P000000873,P001,PD,0,0,EX
P000000033,P010,PD,0,0,EX
P000001338,P007,PD,0,0,EX
P000000899,P003,VB,0,0,EX
P000001151,P008,PD,0,0,EX
P000000523,P008,PD,0,0,EX
P000001138,P006,PD,0,0,EX
P000001916,P002,PD,0,0,EX
P000001830,P003,VB,0,0,EX
P000001847,P008,PD,0,0,EX
P000001539,P001,PD,0,0,EX
P000000655,P007,VB,0,0,EX
P000000208,P010,PD,0,0,EX
P000001157,P005,VB,0,0,EX
P000001021,P007,PD,0,0,EX
P000000675,P001,PD,0,0,EX
P000000262,P004,VB,0,0,EX
P000000860,P007,PD,0,0,EX
P000001563,P008,PD,0,0,EX
P000000922,P006,PD,0,0,EX
P000000488,P001,VB,0,0,EX
P000001196,P006,PD,0,0,EX
P000000551,P003,PD,0,0,EX
P000000402,P002,PD,0,0,EX
P000000658,P003,VB,0,0,EX
P000000707,P004,PD,0,0,EX
P000001535,P009,PD,0,0,EX
P000000539,P010,PD,0,0,EX
P000001343,P002,VB,0,0,EX
P000001248,P006,PD,0,0,EX
P000000115,P002,VB,0,0,EX
P000000271,P001,PD,0,0,EX
P000000529,P002,VB,0,0,EX
P000000668,P007,PD,0,0,EX
P000000169,P009,PD,0,0,EX
P000001061,P006,VB,0,0,EX
P000001542,P006,PD,0,0,EX
P000001657,P003,PD,0,0,EX
P000000427,P001,PD,0,0,EX
P000000697,P009,PD,0,0,EX
P000001955,P007,PD,0,0,EX
P000000655,P008,VB,0,0,EX
P000001937,P005,PD,0,0,EX
P000001355,P003,PD,0,0,EX
P000001751,P001,PD,0,0,EX
P000000824,P004,PD,0,0,EX
P000000612,P009,PD,0,0,EX
P000000059,P002,PD,0,0,EX
P000001618,P005,PD,0,0,EX
P000001183,P010,PD,0,0,EX
P000000937,P008,PD,0,0,EX
P000001060,P001,PD,0,0,EX
P000000275,P010,VB,0,0,EX
P000000510,P004,VB,0,0,EX
P000000510,P003,VB,0,0,EX
P000001957,P004,PD,0,0,EX
P000001027,P004,PD,0,0,EX
P000000727,P006,PD,0,0,EX
P000000873,P008,VB,0,0,EX
P000000389,P008,PD,0,0,EX
P000001660,P010,PD,0,0,EX
P000000222,P003,PD,0,0,EX
P000001211,P008,PD,0,0,EX
P000000896,P008,PD,0,0,EX
P000001678,P002,VB,0,0,EX
P000001267,P005,PD,0,0,EX
P000001501,P004,PD,0,0,EX
P000001676,P002,PD,0,0,EX
P000001847,P007,PD,0,0,EX
P000000466,P005,PD,0,0,EX
P000000707,P008,VB,0,0,EX
P000000404,P003,PD,0,0,EX
P000001097,P007,PD,0,0,EX
P000000688,P001,PD,0,0,EX
P000001715,P007,PD,0,0,EX
P000000793,P006,PD,0,0,EX
P000000341,P003,PD,0,0,EX
P000000807,P003,VB,0,0,EX
P000000515,P002,PD,0,0,EX
P000001041,P010,PD,0,0,EX
P000000601,P002,PD,0,0,EX
P000000837,P005,PD,0,0,EX
P000001897,P002,PD,0,0,EX
P000000282,P005,PD,0,0,EX
P000001887,P006,PD,0,0,EX
P000000771,P010,PD,0,0,EX
P000001453,P001,PD,0,0,EX
P000001044,P005,PD,0,0,EX
P000001137,P002,VB,0,0,EX
P000001334,P001,VB,0,0,EX
P000001621,P009,VB,0,0,EX
P000001533,P004,PD,0,0,EX
P000000855,P007,PD,0,0,EX
P000000980,P008,PD,0,0,EX
P000000483,P006,PD,0,0,EX
P000000693,P006,PD,0,0,EX
P000000283,P010,VB,0,0,EX
P000000696,P007,PD,0,0,EX
P000001447,P009,PD,0,0,EX
P000001592,P002,PD,0,0,EX
P000001273,P008,PD,0,0,EX
P000001024,P005,PD,0,0,EX
P000001160,P010,PD,0,0,EX
P000001864,P002,PD,0,0,EX
P000000320,P003,PD,0,0,EX
P000000620,P002,PD,0,0,EX
P000001357,P002,VB,0,0,EX
P000001005,P005,PD,0,0,EX
P000000581,P004,PD,0,0,EX
P000000851,P002,PD,0,0,EX
P000001003,P010,PD,0,0,EX
P000001361,P004,PD,0,0,EX
P000001101,P008,PD,0,0,EX
P000000687,P008,PD,0,0,EX
P000001422,P004,PD,0,0,EX
P000000312,P008,PD,0,0,EX
P000000518,P008,PD,0,0,EX
P000000225,P008,PD,0,0,EX
P000000786,P001,PD,0,0,EX
P000000470,P005,VB,0,0,EX
P000000513,P008,VB,0,0,EX
P000000095,P009,PD,0,0,EX
P000001417,P005,PD,0,0,EX
P000000292,P006,PD,0,0,EX
P000001584,P005,PD,0,0,EX
P000000727,P002,PD,0,0,EX
P000000236,P010,PD,0,0,EX
P000001493,P003,VB,0,0,EX
P000001336,P004,PD,0,0,EX
P000001272,P003,PD,0,0,EX
P000001427,P004,PD,0,0,EX
P000001211,P010,PD,0,0,EX
P000000244,P005,PD,0,0,EX
P000000593,P008,VB,0,0,EX
P000000548,P010,VB,0,0,EX
P000001941,P003,VB,0,0,EX
P000000237,P005,VB,0,0,EX
P000001923,P007,VB,0,0,EX
P000000874,P001,PD,0,0,EX
P000000162,P006,PD,0,0,EX
P000000470,P001,PD,0,0,EX
P000001035,P003,VB,0,0,EX
P000000500,P002,PD,0,0,EX
P000001213,P006,PD,0,0,EX
P000000779,P009,VB,0,0,EX
P000000968,P006,PD,0,0,EX
P000001792,P008,VB,0,0,EX
P000001313,P010,PD,0,0,EX
P000000097,P002,VB,0,0,EX
P000000327,P001,PD,0,0,EX
P000001166,P007,PD,0,0,EX
P000000079,P003,PD,0,0,EX
P000001632,P003,PD,0,0,EX
P000000865,P006,PD,0,0,EX
P000000307,P006,PD,0,0,EX
P000000818,P003,PD,0,0,EX
P000001014,P010,PD,0,0,EX
P000001814,P004,PD,0,0,EX
P000000621,P008,PD,0,0,EX
P000000459,P008,PD,0,0,EX
P000000086,P009,PD,0,0,EX
P000001486,P006,PD,0,0,EX
P000000388,P004,PD,0,0,EX
P000000347,P006,PD,0,0,EX
P000001849,P006,PD,0,0,EX
P000001035,P008,PD,0,0,EX
P000001619,P010,PD,0,0,EX
P000000771,P006,PD,0,0,EX
P000001980,P007,VB,0,0,EX
P000001309,P007,PD,0,0,EX
P000001456,P001,PD,0,0,EX
P000000892,P006,PD,0,0,EX
P000000116,P006,PD,0,0,EX
P000000193,P001,PD,0,0,EX
P000001589,P007,VB,0,0,EX
P000000288,P009,PD,0,0,EX
P000001140,P010,VB,0,0,EX
P000001214,P003,PD,0,0,EX
P000001784,P010,VB,0,0,EX
P000000541,P006,VB,0,0,EX
P000001042,P008,PD,0,0,EX
P000000715,P004,PD,0,0,EX
P000001709,P005,PD,0,0,EX
P000000223,P003,PD,0,0,EX
P000001266,P003,PD,0,0,EX
P000000956,P008,PD,0,0,EX
P000000028,P004,PD,0,0,EX
P000001073,P002,PD,0,0,EX
P000000588,P008,PD,0,0,EX
P000001957,P003,VB,0,0,EX
P000001342,P007,PD,0,0,EX
P000001832,P006,PD,0,0,EX
P000000343,P007,PD,0,0,EX
P000000648,P001,PD,0,0,EX
P000001931,P008,PD,0,0,EX
P000001326,P007,PD,0,0,EX
P000000266,P007,VB,0,0,EX
P000001764,P004,VB,0,0,EX
P000001222,P006,PD,0,0,EX
P000001626,P004,VB,0,0,EX
P000000086,P005,PD,0,0,EX
P000000049,P007,PD,0,0,EX
P000001644,P002,PD,0,0,EX
P000000725,P010,PD,0,0,EX
P000001016,P008,PD,0,0,EX
P000001874,P005,PD,0,0,EX
P000000349,P006,PD,0,0,EX
P000001057,P004,PD,0,0,EX
P000001088,P010,PD,0,0,EX
P000000406,P007,VB,0,0,EX
P000001749,P003,VB,0,0,EX
P000001694,P003,PD,0,0,EX
P000001759,P003,PD,0,0,EX
P000001800,P008,PD,0,0,EX
P000001135,P008,PD,0,0,EX
P000000058,P002,PD,0,0,EX
P000000408,P005,PD,0,0,EX
P000001479,P003,PD,0,0,EX
P000001983,P007,PD,0,0,EX
P000001263,P008,PD,0,0,EX
P000001707,P003,PD,0,0,EX
P000001258,P009,PD,0,0,EX
P000001841,P005,PD,0,0,EX
P000000031,P003,PD,0,0,EX
P000001915,P010,PD,0,0,EX
P000000394,P003,PD,0,0,EX
P000000907,P001,PD,0,0,EX
P000000224,P001,PD,0,0,EX
P000000422,P006,PD,0,0,EX
P000001411,P007,PD,0,0,EX
P000000896,P006,PD,0,0,EX
P000000452,P007,VB,0,0,EX
P000000713,P008,VB,0,0,EX
P000000148,P009,PD,0,0,EX
P000001307,P003,PD,0,0,EX
P000000653,P007,VB,0,0,EX
P000000453,P001,VB,0,0,EX
P000001756,P007,PD,0,0,EX
P000001103,P005,PD,0,0,EX
P000001673,P010,VB,0,0,EX
P000000038,P003,PD,0,0,EX
P000001931,P002,VB,0,0,EX
P000000231,P005,VB,0,0,EX
P000000012,P002,PD,0,0,EX
P000000484,P007,PD,0,0,EX
P000000029,P004,PD,0,0,EX
P000001534,P010,PD,0,0,EX
P000000944,P008,PD,0,0,EX
P000000206,P001,PD,0,0,EX
P000001813,P005,VB,0,0,EX
P000000351,P005,PD,0,0,EX
P000000966,P005,VB,0,0,EX
P000001481,P007,PD,0,0,EX
P000000843,P010,PD,0,0,EX
P000001253,P002,PD,0,0,EX
P000000091,P001,PD,0,0,EX
P000001609,P001,PD,0,0,EX
P000001217,P005,PD,0,0,EX
P000000915,P002,PD,0,0,EX
P000001184,P002,VB,0,0,EX
P000000371,P001,PD,0,0,EX
P000001750,P004,PD,0,0,EX
P000000901,P005,PD,0,0,EX
P000000277,P006,PD,0,0,EX
P000000489,P001,PD,0,0,EX
P000001460,P004,PD,0,0,EX
P000001032,P003,VB,0,0,EX
P000001850,P010,VB,0,0,EX
P000001236,P002,VB,0,0,EX
P000001362,P007,PD,0,0,EX
P000001379,P007,PD,0,0,EX
P000001947,P006,PD,0,0,EX
P000001173,P004,PD,0,0,EX
P000001177,P007,PD,0,0,EX
P000001834,P003,PD,0,0,EX
P000001431,P006,PD,0,0,EX
P000000390,P008,PD,0,0,EX
P000000435,P006,PD,0,0,EX
P000000402,P010,VB,0,0,EX
P000001346,P008,VB,0,0,EX
P000001625,P009,VB,0,0,EX
P000001955,P008,VB,0,0,EX
P000001646,P003,PD,0,0,EX
P000000710,P004,PD,0,0,EX
P000001555,P009,PD,0,0,EX
P000001468,P007,PD,0,0,EX
P000001876,P006,PD,0,0,EX
P000000003,P009,PD,0,0,EX
P000001244,P009,PD,0,0,EX
P000000313,P005,VB,0,0,EX
P000000311,P004,PD,0,0,EX
P000000608,P007,VB,0,0,EX
P000000306,P010,PD,0,0,EX
P000001385,P002,PD,0,0,EX
P000001451,P004,PD,0,0,EX
P000001220,P001,PD,0,0,EX
P000001952,P003,VB,0,0,EX
P000000899,P002,PD,0,0,EX
P000001729,P010,PD,0,0,EX
P000000656,P005,VB,0,0,EX
P000000833,P001,VB,0,0,EX
P000001951,P001,PD,0,0,EX
P000001646,P001,PD,0,0,EX
P000001545,P008,PD,0,0,EX
P000000509,P009,PD,0,0,EX
P000001330,P003,PD,0,0,EX
P000001590,P007,PD,0,0,EX
P000000664,P006,VB,0,0,EX
P000000993,P008,PD,0,0,EX
P000000698,P004,PD,0,0,EX
P000001768,P001,VB,0,0,EX
P000000545,P004,VB,0,0,EX
P000000359,P006,PD,0,0,EX
P000000795,P005,PD,0,0,EX
P000001087,P010,PD,0,0,EX
P000000330,P002,PD,0,0,EX
P000001137,P003,PD,0,0,EX
P000001616,P006,PD,0,0,EX
P000000124,P005,PD,0,0,EX
P000000600,P009,PD,0,0,EX
P000000416,P003,VB,0,0,EX
P000001953,P009,PD,0,0,EX
P000000190,P006,PD,0,0,EX
P000001480,P010,PD,0,0,EX
P000000265,P006,PD,0,0,EX
P000000152,P006,PD,0,0,EX
P000000975,P003,PD,0,0,EX
P000000729,P009,VB,0,0,EX
P000001827,P010,PD,0,0,EX
P000001849,P008,VB,0,0,EX
P000000966,P002,PD,0,0,EX
P000001054,P001,PD,0,0,EX
P000001711,P001,PD,0,0,EX
P000001855,P008,VB,0,0,EX
P000000423,P008,PD,0,0,EX
P000001617,P006,PD,0,0,EX
P000001540,P004,VB,0,0,EX
P000001806,P009,PD,0,0,EX
P000001813,P007,VB,0,0,EX
P000001048,P004,PD,0,0,EX
P000001945,P004,PD,0,0,EX
P000000439,P002,VB,0,0,EX
P000000010,P001,PD,0,0,EX
P000001196,P001,VB,0,0,EX
P000000054,P010,VB,0,0,EX
P000000544,P008,PD,0,0,EX
P000000929,P008,PD,0,0,EX
P000001099,P005,VB,0,0,EX
P000001702,P009,VB,0,0,EX
P000001283,P004,PD,0,0,EX
P000001779,P005,VB,0,0,EX
P000000218,P006,VB,0,0,EX
P000000870,P005,VB,0,0,EX
P000000991,P004,PD,0,0,EX
P000001341,P001,PD,0,0,EX
P000001291,P002,PD,0,0,EX
P000001481,P001,PD,0,0,EX
P000001307,P004,PD,0,0,EX
P000000353,P006,VB,0,0,EX
P000000407,P005,PD,0,0,EX
P000001889,P002,PD,0,0,EX
P000000281,P004,VB,0,0,EX
P000000138,P004,PD,0,0,EX
P000001203,P009,PD,0,0,EX
P000001699,P001,PD,0,0,EX
P000001532,P009,PD,0,0,EX
P000000519,P001,VB,0,0,EX
P000001471,P008,PD,0,0,EX
P000000918,P006,PD,0,0,EX
P000001356,P008,PD,0,0,EX
P000000436,P006,PD,0,0,EX
P000000832,P007,PD,0,0,EX
P000000244,P010,PD,0,0,EX
P000001003,P008,PD,0,0,EX
P000001212,P007,PD,0,0,EX
P000001425,P010,VB,0,0,EX
P000000279,P002,PD,0,0,EX
P000001205,P003,PD,0,0,EX
P000001043,P004,PD,0,0,EX
P000000583,P003,PD,0,0,EX
P000000862,P006,PD,0,0,EX
P000001709,P009,PD,0,0,EX
P000000808,P004,PD,0,0,EX
P000001333,P001,PD,0,0,EX
P000001654,P004,VB,0,0,EX
P000000010,P006,PD,0,0,EX
P000000096,P004,PD,0,0,EX
P000000233,P002,PD,0,0,EX
P000000796,P002,PD,0,0,EX
P000001777,P010,PD,0,0,EX
P000001738,P010,VB,0,0,EX
P000001176,P008,PD,0,0,EX
P000000858,P010,PD,0,0,EX
P000001747,P009,PD,0,0,EX
P000000675,P007,PD,0,0,EX
P000000667,P001,PD,0,0,EX
P000001563,P007,PD,0,0,EX
P000001352,P001,VB,0,0,EX
P000000383,P006,PD,0,0,EX
P000000123,P004,PD,0,0,EX
P000001669,P004,VB,0,0,EX
P000000846,P002,VB,0,0,EX
P000001203,P010,PD,0,0,EX
P000001295,P002,PD,0,0,EX
P000000864,P006,PD,0,0,EX
P000000787,P007,PD,0,0,EX
P000001199,P010,VB,0,0,EX
P000000061,P004,VB,0,0,EX
P000001494,P003,PD,0,0,EX
P000001755,P008,PD,0,0,EX
P000000373,P003,PD,0,0,EX
P000000671,P010,PD,0,0,EX
P000000115,P007,PD,0,0,EX
P000000819,P001,PD,0,0,EX
P000000782,P007,VB,0,0,EX
P000000312,P005,VB,0,0,EX
P000000776,P002,VB,0,0,EX
P000001675,P006,VB,0,0,EX
P000001580,P005,PD,0,0,EX
P000001824,P009,PD,0,0,EX
P000001466,P009,PD,0,0,EX
P000001138,P010,VB,0,0,EX
P000001119,P004,PD,0,0,EX
P000001949,P009,PD,0,0,EX
P000000553,P004,PD,0,0,EX
P000000102,P004,PD,0,0,EX
P000000401,P007,PD,0,0,EX
P000001016,P009,PD,0,0,EX
P000000721,P004,VB,0,0,EX
P000000458,P005,PD,0,0,EX
P000000856,P003,PD,0,0,EX
P000000336,P003,PD,0,0,EX
P000001848,P005,PD,0,0,EX
P000000964,P004,PD,0,0,EX
P000001991,P005,PD,0,0,EX
P000000560,P010,VB,0,0,EX
P000001100,P002,PD,0,0,EX
P000001115,P006,PD,0,0,EX
P000001439,P009,PD,0,0,EX
P000000094,P010,PD,0,0,EX
P000000397,P003,VB,0,0,EX
P000000983,P006,PD,0,0,EX
P000001077,P001,PD,0,0,EX
P000001817,P010,PD,0,0,EX
P000001978,P002,VB,0,0,EX
P000001062,P008,VB,0,0,EX
P000001898,P003,PD,0,0,EX
P000001879,P010,PD,0,0,EX
P000000356,P001,PD,0,0,EX
P000000179,P006,PD,0,0,EX
P000001740,P006,PD,0,0,EX
P000001093,P001,PD,0,0,EX
P000000455,P009,PD,0,0,EX
P000000045,P010,PD,0,0,EX
P000001228,P002,PD,0,0,EX
P000000812,P003,PD,0,0,EX
P000000448,P003,VB,0,0,EX
P000001514,P001,PD,0,0,EX
P000001969,P002,PD,0,0,EX
P000001599,P010,VB,0,0,EX
P000000982,P008,PD,0,0,EX
P000000340,P008,VB,0,0,EX
P000000756,P003,PD,0,0,EX
P000000285,P002,PD,0,0,EX
P000001148,P008,PD,0,0,EX
P000001106,P007,PD,0,0,EX
P000000182,P001,PD,0,0,EX
P000000778,P002,PD,0,0,EX
P000000442,P007,VB,0,0,EX
P000001000,P003,VB,0,0,EX
P000000734,P007,PD,0,0,EX
P000001529,P002,PD,0,0,EX
P000001268,P003,PD,0,0,EX
P000000653,P008,PD,0,0,EX
P000001403,P002,PD,0,0,EX
P000001421,P005,PD,0,0,EX
P000001559,P002,PD,0,0,EX
P000001034,P010,PD,0,0,EX
P000001295,P003,PD,0,0,EX
P000000722,P008,PD,0,0,EX
P000001416,P001,PD,0,0,EX
P000000157,P005,PD,0,0,EX
P000000346,P010,PD,0,0,EX
P000001500,P007,PD,0,0,EX
P000001134,P004,PD,0,0,EX
P000001976,P001,PD,0,0,EX
P000001601,P007,PD,0,0,EX
P000001388,P006,PD,0,0,EX
P000000818,P008,VB,0,0,EX
P000001409,P010,PD,0,0,EX
P000001542,P005,PD,0,0,EX
P000000251,P010,PD,0,0,EX
P000001210,P008,PD,0,0,EX
P000000734,P006,PD,0,0,EX
P000001521,P010,VB,0,0,EX
P000001727,P007,PD,0,0,EX
P000001386,P008,PD,0,0,EX
P000000543,P001,VB,0,0,EX
P000001749,P004,PD,0,0,EX
P000000453,P010,PD,0,0,EX
P000001862,P005,PD,0,0,EX
P000001375,P002,VB,0,0,EX
P000000318,P008,VB,0,0,EX
P000001683,P010,VB,0,0,EX
P000000931,P007,PD,0,0,EX
P000001944,P001,PD,0,0,EX
P000001260,P005,PD,0,0,EX
P000001353,P002,PD,0,0,EX
P000001766,P006,VB,0,0,EX
P000001224,P003,PD,0,0,EX
P000000993,P006,PD,0,0,EX
P000001991,P007,VB,0,0,EX
P000000005,P005,PD,0,0,EX
P000001106,P002,PD,0,0,EX
P000001312,P005,PD,0,0,EX
P000001153,P004,VB,0,0,EX
P000001879,P007,PD,0,0,EX
P000000956,P004,PD,0,0,EX
P000001037,P005,PD,0,0,EX
P000000451,P003,PD,0,0,EX
P000001750,P008,PD,0,0,EX
P000001194,P001,PD,0,0,EX
P000001680,P004,PD,0,0,EX
P000000186,P001,PD,0,0,EX
P000000186,P005,VB,0,0,EX
P000001135,P005,PD,0,0,EX
P000001064,P002,PD,0,0,EX
P000001482,P004,PD,0,0,EX
P000001051,P002,VB,0,0,EX
P000000370,P001,PD,0,0,EX
P000000484,P005,PD,0,0,EX
P000001814,P010,VB,0,0,EX
P000000602,P002,PD,0,0,EX
P000001848,P009,PD,0,0,EX
P000001517,P001,PD,0,0,EX
P000001945,P006,PD,0,0,EX
P000001326,P005,PD,0,0,EX
P000000266,P010,PD,0,0,EX
P000001890,P006,PD,0,0,EX
P000001025,P010,PD,0,0,EX
P000001812,P008,PD,0,0,EX
P000000877,P006,PD,0,0,EX
P000001087,P002,PD,0,0,EX
P000000247,P010,PD,0,0,EX
P000001142,P006,PD,0,0,EX
P000000555,P005,PD,0,0,EX
P000001571,P008,PD,0,0,EX
P000001562,P005,PD,0,0,EX
P000000850,P002,PD,0,0,EX
P000001803,P010,PD,0,0,EX
P000001933,P007,VB,0,0,EX
P000001690,P003,PD,0,0,EX
P000001781,P009,PD,0,0,EX
P000000143,P005,PD,0,0,EX
P000000651,P002,PD,0,0,EX
P000000091,P010,PD,0,0,EX
P000000896,P010,PD,0,0,EX
P000000113,P006,PD,0,0,EX
P000000264,P002,VB,0,0,EX
P000001905,P010,PD,0,0,EX
P000001630,P008,PD,0,0,EX
P000001688,P005,PD,0,0,EX
P000000502,P006,VB,0,0,EX
P000001192,P009,VB,0,0,EX
P000000601,P004,PD,0,0,EX
P000001978,P003,PD,0,0,EX
P000000051,P001,VB,0,0,EX
P000001550,P001,PD,0,0,EX
P000000428,P008,VB,0,0,EX
P000001364,P010,VB,0,0,EX
P000000272,P010,PD,0,0,EX
P000001362,P010,PD,0,0,EX
P000001820,P005,VB,0,0,EX
P000001056,P003,PD,0,0,EX
P000001416,P002,PD,0,0,EX
P000000554,P001,PD,0,0,EX
P000000015,P006,VB,0,0,EX
P000000611,P009,VB,0,0,EX
P000000819,P008,PD,0,0,EX
P000001000,P009,VB,0,0,EX
P000000370,P002,VB,0,0,EX
P000001305,P005,PD,0,0,EX
P000001544,P004,PD,0,0,EX
P000001575,P003,VB,0,0,EX
P000000929,P004,PD,0,0,EX
P000001541,P004,PD,0,0,EX
P000001730,P004,PD,0,0,EX
P000000241,P010,PD,0,0,EX
P000001302,P009,PD,0,0,EX
P000000342,P003,PD,0,0,EX
P000001632,P007,PD,0,0,EX
P000001354,P010,VB,0,0,EX
P000001592,P003,VB,0,0,EX
P000001659,P006,PD,0,0,EX
P000000819,P010,PD,0,0,EX
P000000572,P005,PD,0,0,EX
P000000983,P010,PD,0,0,EX
P000001112,P004,PD,0,0,EX
P000001161,P008,PD,0,0,EX
P000000438,P003,PD,0,0,EX
P000000545,P008,PD,0,0,EX
P000000404,P008,VB,0,0,EX
P000001777,P003,VB,0,0,EX
P000000482,P009,PD,0,0,EX
P000000610,P002,VB,0,0,EX
P000001019,P002,PD,0,0,EX
P000001775,P009,PD,0,0,EX
P000000613,P009,VB,0,0,EX
P000000905,P007,VB,0,0,EX
P000001155,P010,PD,0,0,EX
P000001510,P002,PD,0,0,EX
P000000136,P002,VB,0,0,EX
P000001991,P002,PD,0,0,EX
P000000380,P008,PD,0,0,EX
P000000088,P006,VB,0,0,EX
P000001021,P004,PD,0,0,EX
P000000330,P001,PD,0,0,EX
P000000855,P001,PD,0,0,EX
P000001536,P006,PD,0,0,EX
P000001990,P003,PD,0,0,EX
P000001961,P008,VB,0,0,EX
P000000432,P009,PD,0,0,EX
P000000431,P006,PD,0,0,EX
P000000082,P009,VB,0,0,EX
P000001405,P010,PD,0,0,EX
P000000292,P009,VB,0,0,EX
P000001404,P003,PD,0,0,EX
P000001356,P010,PD,0,0,EX
P000000508,P009,PD,0,0,EX
P000000457,P007,PD,0,0,EX
P000001769,P005,PD,0,0,EX
P000001018,P005,VB,0,0,EX
P000000328,P003,PD,0,0,EX
P000000793,P009,PD,0,0,EX
P000001227,P002,PD,0,0,EX
P000000612,P007,PD,0,0,EX
P000000330,P004,PD,0,0,EX
P000001777,P004,PD,0,0,EX
P000000635,P010,VB,0,0,EX
P000001426,P010,PD,0,0,EX
P000000176,P007,PD,0,0,EX
P000000915,P005,PD,0,0,EX
P000000579,P001,VB,0,0,EX
P000000742,P005,PD,0,0,EX
P000001433,P004,PD,0,0,EX
P000001044,P004,VB,0,0,EX
P000001580,P003,VB,0,0,EX
P000001540,P001,PD,0,0,EX
P000000883,P009,VB,0,0,EX
P000000695,P002,VB,0,0,EX
P000001801,P001,VB,0,0,EX
P000000595,P001,VB,0,0,EX
P000001683,P002,PD,0,0,EX
P000001850,P009,PD,0,0,EX
P000000884,P010,PD,0,0,EX
P000001477,P008,VB,0,0,EX
P000001270,P004,PD,0,0,EX
P000000905,P001,VB,0,0,EX
P000000073,P008,PD,0,0,EX
P000001663,P009,PD,0,0,EX
P000000406,P010,VB,0,0,EX
P000000589,P007,VB,0,0,EX
P000001790,P002,PD,0,0,EX
P000001564,P001,PD,0,0,EX
P000001606,P009,VB,0,0,EX
P000001973,P001,PD,0,0,EX
P000000544,P007,VB,0,0,EX
P000000218,P008,VB,0,0,EX
P000001826,P003,PD,0,0,EX
P000001306,P003,VB,0,0,EX
P000000283,P006,VB,0,0,EX
P000000458,P006,PD,0,0,EX
P000001526,P002,PD,0,0,EX
P000001468,P009,VB,0,0,EX
P000001420,P004,PD,0,0,EX
P000000482,P001,VB,0,0,EX
P000001349,P006,PD,0,0,EX
P000000031,P006,PD,0,0,EX
P000001366,P006,VB,0,0,EX
P000000876,P002,PD,0,0,EX
P000000904,P002,PD,0,0,EX
P000001663,P004,VB,0,0,EX
P000000341,P006,PD,0,0,EX
P000001587,P002,PD,0,0,EX
P000000114,P002,PD,0,0,EX
P000000571,P006,PD,0,0,EX
P000001847,P005,VB,0,0,EX
P000000943,P004,PD,0,0,EX
P000000292,P004,PD,0,0,EX
P000001234,P010,PD,0,0,EX
